 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
           中 華 民 國 94 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
, 女 ,"   1,860,947","   14,413","   69,223","   15,937","   16,390","   17,735","   19,161","   117,030","   127,141","   130,972","   156,635","   171,856","   154,202","   162,019","   172,102","   164,643","   144,188","   88,484","   58,007","   47,641","   33,360","   24,274","   14,814","   6,685","   2,544",   555,   159,
, 計 ,"   461,586","   3,870","   18,759","   4,335","   4,578","   4,775","   5,071","   29,886","   33,492","   33,031","   38,101","   39,296","   33,891","   36,228","   37,202","   34,407","   30,217","   19,961","   18,093","   18,620","   15,001","   11,306","   6,374","   2,769",   861,   185,   36,
 宜 蘭 縣 , 男 ,"   237,326","   2,002","   9,727","   2,242","   2,376","   2,488","   2,621","   15,720","   17,315","   17,267","   19,411","   20,319","   17,582","   19,211","   19,563","   17,666","   15,271","   10,059","   8,967","   9,157","   7,408","   5,949","   3,078","   1,213",   363,   59,   19,
, 女 ,"   224,260","   1,868","   9,032","   2,093","   2,202","   2,287","   2,450","   14,166","   16,177","   15,764","   18,690","   18,977","   16,309","   17,017","   17,639","   16,741","   14,946","   9,902","   9,126","   9,463","   7,593","   5,357","   3,296","   1,556",   498,   126,   17,
, 計 ,"   1,880,316","   18,490","   90,817","   20,670","   21,650","   23,707","   24,790","   146,476","   151,127","   138,861","   154,811","   164,347","   156,210","   165,374","   163,678","   143,081","   118,420","   72,631","   50,742","   42,768","   35,782","   36,649","   19,409","   7,495","   2,585",   474,   89,
 桃 園 縣 , 男 ,"   958,212","   9,632","   47,507","   10,784","   11,399","   12,374","   12,950","   76,509","   79,081","   72,362","   79,338","   82,345","   77,826","   82,400","   81,912","   71,374","   58,025","   34,856","   23,766","   19,593","   19,547","   24,406","   12,060","   4,080","   1,359",   200,   34,
, 女 ,"   922,104","   8,858","   43,310","   9,886","   10,251","   11,333","   11,840","   69,967","   72,046","   66,499","   75,473","   82,002","   78,384","   82,974","   81,766","   71,707","   60,395","   37,775","   26,976","   23,175","   16,235","   12,243","   7,349","   3,415","   1,226",   274,   55,
, 計 ,"   477,677","   5,494","   25,585","   6,053","   6,119","   6,639","   6,774","   36,187","   36,527","   32,937","   36,095","   39,750","   39,609","   40,569","   38,967","   32,773","   27,180","   17,899","   16,282","   17,071","   13,644","   11,078","   6,184","   2,713",   905,   196,   32,
 新 竹 縣 , 男 ,"   248,195","   2,898","   13,453","   3,175","   3,168","   3,510","   3,600","   18,933","   19,035","   17,053","   18,391","   19,822","   20,206","   21,494","   21,018","   17,781","   14,217","   9,181","   8,255","   8,663","   6,980","   5,971","   3,108","   1,251",   393,   77,   15,
, 女 ,"   229,482","   2,596","   12,132","   2,878","   2,951","   3,129","   3,174","   17,254","   17,492","   15,884","   17,704","   19,928","   19,403","   19,075","   17,949","   14,992","   12,963","   8,718","   8,027","   8,408","   6,664","   5,107","   3,076","   1,462",   512,   119,   17,
, 計 ,"   559,944","   5,123","   25,067","   5,851","   5,991","   6,612","   6,613","   35,971","   39,608","   40,242","   47,252","   47,147","   40,570","   41,998","   44,023","   41,008","   35,482","   24,855","   21,626","   22,165","   19,076","   14,978","   8,429","   3,727","   1,330",   226,   41,
 苗 栗 縣 , 男 ,"   293,424","   2,723","   13,429","   3,184","   3,219","   3,551","   3,475","   18,726","   20,776","   20,809","   24,381","   24,543","   22,033","   22,905","   23,952","   22,149","   18,571","   12,802","   11,108","   11,332","   9,476","   7,525","   3,892","   1,654",   543,   78,   17,
, 女 ,"   266,520","   2,400","   11,638","   2,667","   2,772","   3,061","   3,138","   17,245","   18,832","   19,433","   22,871","   22,604","   18,537","   19,093","   20,071","   18,859","   16,911","   12,053","   10,518","   10,833","   9,600","   7,453","   4,537","   2,073",   787,   148,   24,
, 計 ,"   1,533,442","   14,246","   69,247","   16,006","   16,377","   17,919","   18,945","   110,308","   118,356","   119,311","   139,275","   144,196","   117,967","   120,955","   125,619","   116,572","   101,354","   64,629","   46,902","   41,824","   33,528","   27,181","   14,313","   5,590","   1,761",   276,   32,
 臺 中 縣 , 男 ,"   782,836","   7,400","   35,979","   8,345","   8,478","   9,399","   9,757","   57,397","   61,560","   61,920","   71,637","   74,246","   60,085","   61,446","   62,988","   58,690","   50,810","   32,499","   23,227","   20,276","   16,779","   15,150","   7,502","   2,462",   681,   85,   17,
, 女 ,"   750,606","   6,846","   33,268","   7,661","   7,899","   8,520","   9,188","   52,911","   56,796","   57,391","   67,638","   69,950","   57,882","   59,509","   62,631","   57,882","   50,544","   32,130","   23,675","   21,548","   16,749","   12,031","   6,811","   3,128","   1,080",   191,   15,
, 計 ,"   1,315,826","   12,337","   59,797","   14,077","   14,549","   15,406","   15,765","   88,059","   92,469","   97,357","   118,829","   123,002","   97,691","   95,919","   101,289","   95,437","   84,209","   58,342","   46,717","   47,902","   40,873","   29,454","   16,503","   6,965","   2,184",   450,   41,
 彰 化 縣 , 男 ,"   679,764","   6,374","   31,438","   7,460","   7,693","   8,093","   8,192","   46,074","   48,445","   51,186","   61,084","   63,672","   51,540","   50,950","   53,658","   50,328","   43,764","   30,120","   23,726","   23,578","   19,488","   13,862","   7,031","   2,553",   749,   130,   14,
, 女 ,"   636,062","   5,963","   28,359","   6,617","   6,856","   7,313","   7,573","   41,985","   44,024","   46,171","   57,745","   59,330","   46,151","   44,969","   47,631","   45,109","   40,445","   28,222","   22,991","   24,324","   21,385","   15,592","   9,472","   4,412","   1,435",   320,   27,
, 計 ,"   537,168","   4,725","   22,826","   5,249","   5,399","   5,997","   6,181","   33,418","   37,101","   37,593","   44,878","   45,158","   37,517","   40,706","   43,555","   40,772","   36,252","   25,425","   21,008","   21,747","   18,390","   14,002","   7,665","   3,179","   1,023",   204,   24,
 南 投 縣 , 男 ,"   279,214","   2,441","   11,871","   2,735","   2,824","   3,101","   3,211","   17,310","   19,265","   19,544","   23,166","   23,656","   19,840","   21,915","   23,418","   21,785","   19,182","   13,117","   10,601","   10,772","   9,021","   6,995","   3,542","   1,310",   384,   70,   9,
, 女 ,"   257,954","   2,284","   10,955","   2,514","   2,575","   2,896","   2,970","   16,108","   17,836","   18,049","   21,712","   21,502","   17,677","   18,791","   20,137","   18,987","   17,070","   12,308","   10,407","   10,975","   9,369","   7,007","   4,123","   1,869",   639,   134,   15,
, 計 ,"   733,330","   6,834","   32,717","   7,550","   8,207","   8,426","   8,534","   45,125","   45,392","   46,447","   59,485","   65,860","   53,755","   54,510","   55,562","   51,310","   47,696","   36,172","   32,029","   33,975","   28,529","   20,597","   10,826","   4,728","   1,498",   257,   26,
 雲 林 縣 , 男 ,"   385,913","   3,593","   17,268","   4,012","   4,383","   4,365","   4,508","   23,838","   23,507","   24,282","   30,601","   34,013","   29,338","   31,584","   32,189","   28,811","   25,955","   19,169","   16,137","   16,604","   13,241","   9,217","   4,336","   1,660",   491,   70,   9,
, 女 ,"   347,417","   3,241","   15,449","   3,538","   3,824","   4,061","   4,026","   21,287","   21,885","   22,165","   28,884","   31,847","   24,417","   22,926","   23,373","   22,499","   21,741","   17,003","   15,892","   17,371","   15,288","   11,380","   6,490","   3,068","   1,007",   187,   17,
, 計 ,"   557,101","   5,338","   24,840","   5,777","   6,162","   6,488","   6,413","   32,916","   32,612","   35,246","   44,017","   47,282","   39,970","   42,347","   44,811","   41,229","   36,794","   26,395","   23,401","   25,849","   23,000","   16,962","   8,922","   3,714","   1,217",   220,   19,
 嘉 義 縣 , 男 ,"   292,919","   2,779","   12,945","   3,030","   3,182","   3,375","   3,358","   17,290","   16,909","   18,244","   22,602","   24,305","   21,622","   24,219","   26,020","   23,321","   20,177","   13,765","   11,593","   12,533","   10,767","   7,911","   3,924","   1,474",   438,   74,   7,
, 女 ,"   264,182","   2,559","   11,895","   2,747","   2,980","   3,113","   3,055","   15,626","   15,703","   17,002","   21,415","   22,977","   18,348","   18,128","   18,791","   17,908","   16,617","   12,630","   11,808","   13,316","   12,233","   9,051","   4,998","   2,240",   779,   146,   12,
, 計 ,"   1,106,059","   9,091","   42,018","   9,680","   10,145","   10,880","   11,313","   65,756","   71,005","   76,720","   90,696","   97,112","   80,208","   86,077","   94,613","   89,891","   76,698","   51,768","   40,641","   41,506","   38,260","   29,474","   15,631","   6,263","   2,206",   386,   39,
 臺 南 縣 , 男 ,"   569,202","   4,767","   21,913","   5,077","   5,337","   5,660","   5,839","   34,411","   36,762","   39,816","   46,601","   50,198","   41,291","   45,040","   50,070","   47,652","   40,251","   26,458","   20,135","   19,984","   18,376","   14,774","   7,202","   2,568",   799,   119,   15,
, 女 ,"   536,857","   4,324","   20,105","   4,603","   4,808","   5,220","   5,474","   31,345","   34,243","   36,904","   44,095","   46,914","   38,917","   41,037","   44,543","   42,239","   36,447","   25,310","   20,506","   21,522","   19,884","   14,700","   8,429","   3,695","   1,407",   267,   24,
, 計 ,"   1,242,837","   10,920","   49,779","   11,581","   12,108","   12,961","   13,129","   75,788","   81,297","   85,157","   102,507","   117,626","   102,116","   101,306","   103,446","   99,254","   91,062","   60,833","   45,015","   39,030","   31,292","   25,455","   13,902","   5,204","   1,541",   263,   44,
 高 雄 縣 , 男 ,"   642,371","   5,680","   25,873","   6,076","   6,233","   6,762","   6,802","   39,429","   42,461","   44,120","   52,752","   61,151","   53,800","   54,319","   54,466","   50,477","   45,359","   30,091","   22,350","   18,747","   16,000","   14,522","   7,422","   2,487",   714,   123,   28,
, 女 ,"   600,466","   5,240","   23,906","   5,505","   5,875","   6,199","   6,327","   36,359","   38,836","   41,037","   49,755","   56,475","   48,316","   46,987","   48,980","   48,777","   45,703","   30,742","   22,665","   20,283","   15,292","   10,933","   6,480","   2,717",   827,   140,   16,
, 計 ,"   898,300","   7,482","   36,154","   8,226","   8,775","   9,455","   9,698","   56,090","   60,777","   60,460","   72,798","   79,681","   66,610","   70,519","   73,120","   69,363","   63,235","   44,220","   35,341","   34,356","   28,416","   21,625","   11,692","   4,738","   1,368",   217,   38,
 屏 東 縣 , 男 ,"   466,041","   3,867","   18,735","   4,371","   4,515","   4,875","   4,974","   29,368","   31,619","   31,087","   37,292","   41,490","   35,300","   38,166","   39,071","   36,216","   32,740","   22,527","   17,730","   17,137","   13,887","   11,185","   5,695","   2,154",   652,   98,   25,
, 女 ,"   432,259","   3,615","   17,419","   3,855","   4,260","   4,580","   4,724","   26,722","   29,158","   29,373","   35,506","   38,191","   31,310","   32,353","   34,049","   33,147","   30,495","   21,693","   17,611","   17,219","   14,529","   10,440","   5,997","   2,584",   716,   119,   13,
, 計 ,"   238,943","   2,177","   10,359","   2,372","   2,497","   2,748","   2,742","   15,034","   15,807","   15,426","   19,238","   20,287","   18,374","   19,042","   19,460","   17,893","   15,980","   11,401","   9,352","   8,909","   7,562","   6,516","   3,988","   1,555",   472,   89,   22,
 臺 東 縣 , 男 ,"   126,727","   1,144","   5,426","   1,233","   1,345","   1,406","   1,442","   7,781","   8,290","   8,167","   9,969","   10,735","   10,094","   10,969","   11,012","   9,659","   8,104","   5,628","   4,598","   4,256","   3,655","   3,685","   2,324",   895,   282,   43,   11,
, 女 ,"   112,216","   1,033","   4,933","   1,139","   1,152","   1,342","   1,300","   7,253","   7,517","   7,259","   9,269","   9,552","   8,280","   8,073","   8,448","   8,234","   7,876","   5,773","   4,754","   4,653","   3,907","   2,831","   1,664",   660,   190,   46,   11,
, 計 ,"   347,298","   2,861","   14,130","   3,277","   3,436","   3,640","   3,777","   22,082","   24,375","   23,149","   28,118","   29,715","   26,223","   26,756","   27,812","   27,005","   24,282","   17,059","   13,313","   12,180","   10,301","   9,209","   5,447","   2,206",   853,   168,   54,
 花 蓮 縣 , 男 ,"   181,557","   1,464","   7,341","   1,725","   1,780","   1,898","   1,938","   11,460","   12,515","   11,909","   14,658","   15,677","   13,890","   14,623","   14,850","   14,101","   12,470","   8,472","   6,473","   5,809","   5,182","   5,473","   3,287","   1,282",   502,   80,   39,
, 女 ,"   165,741","   1,397","   6,789","   1,552","   1,656","   1,742","   1,839","   10,622","   11,860","   11,240","   13,460","   14,038","   12,333","   12,133","   12,962","   12,904","   11,812","   8,587","   6,840","   6,371","   5,119","   3,736","   2,160",   924,   351,   88,   15,
, 計 ,"   92,489",   813,"   3,912",   901,   989,   988,"   1,034","   5,211","   5,489","   5,772","   7,226","   8,190","   7,223","   7,169","   7,068","   6,754","   5,973","   4,473","   3,516","   3,756","   3,954","   3,078","   1,820",   781,   251,   52,   8,
 澎 湖 縣 , 男 ,"   47,920",   407,"   2,063",   463,   545,   502,   553,"   2,735","   2,825","   2,972","   3,705","   4,190","   3,825","   3,946","   3,930","   3,668","   3,069","   2,212","   1,761","   1,876","   1,916","   1,573",   817,   317,   94,   16,   3,
, 女 ,"   44,569",   406,"   1,849",   438,   444,   486,   481,"   2,476","   2,664","   2,800","   3,521","   4,000","   3,398","   3,223","   3,138","   3,086","   2,904","   2,261","   1,755","   1,880","   2,038","   1,505","   1,003",   464,   157,   36,   5,
, 計 ,"   391,727","   2,857","   14,076","   3,203","   3,299","   3,658","   3,916","   24,762","   28,236","   27,058","   30,142","   33,017","   30,962","   33,313","   34,740","   32,986","   29,018","   18,316","   12,935","   12,776","   10,119","   8,419","   5,118","   1,999",   700,   140,   38,
 基 隆 市 , 男 ,"   199,389","   1,507","   7,449","   1,668","   1,775","   1,912","   2,094","   12,871","   14,590","   14,084","   15,590","   16,877","   15,891","   16,969","   17,875","   16,701","   14,420","   8,972","   6,109","   5,831","   4,940","   4,507","   2,788",   993,   343,   63,   19,
, 女 ,"   192,338","   1,350","   6,627","   1,535","   1,524","   1,746","   1,822","   11,891","   13,646","   12,974","   14,552","   16,140","   15,071","   16,344","   16,865","   16,285","   14,598","   9,344","   6,826","   6,945","   5,179","   3,912","   2,330","   1,006",   357,   77,   19,
, 計 ,"   390,692","   4,293","   19,797","   4,770","   4,663","   5,115","   5,249","   29,444","   29,519","   26,893","   29,545","   32,843","   32,946","   34,900","   33,011","   29,214","   25,227","   16,153","   11,927","   10,481","   8,529","   7,933","   5,172","   2,006",   647,   148,   64,
 新 竹 市 , 男 ,"   196,806","   2,220","   10,446","   2,510","   2,445","   2,734","   2,757","   15,363","   15,245","   14,057","   15,112","   16,142","   15,999","   17,467","   16,733","   14,531","   12,517","   7,900","   5,486","   4,678","   4,026","   4,419","   2,974","   1,048",   340,   65,   38,
, 女 ,"   193,886","   2,073","   9,351","   2,260","   2,218","   2,381","   2,492","   14,081","   14,274","   12,836","   14,433","   16,701","   16,947","   17,433","   16,278","   14,683","   12,710","   8,253","   6,441","   5,803","   4,503","   3,514","   2,198",   958,   307,   83,   26,
, 計 ,"   1,032,778","   8,550","   44,437","   9,809","   10,144","   11,744","   12,740","   81,173","   84,156","   74,381","   79,270","   83,599","   84,537","   97,474","   95,226","   82,309","   69,355","   43,421","   28,957","   24,737","   19,165","   16,740","   9,891","   3,807","   1,267",   266,   60,
 臺 中 市 , 男 ,"   506,945","   4,516","   23,135","   5,060","   5,322","   6,096","   6,657","   42,282","   43,802","   38,522","   40,319","   40,848","   38,564","   44,734","   44,792","   39,479","   33,625","   20,992","   13,376","   11,138","   9,235","   9,487","   5,523","   1,883",   555,   110,   28,
, 女 ,"   525,833","   4,034","   21,302","   4,749","   4,822","   5,648","   6,083","   38,891","   40,354","   35,859","   38,951","   42,751","   45,973","   52,740","   50,434","   42,830","   35,730","   22,429","   15,581","   13,599","   9,930","   7,253","   4,368","   1,924",   712,   156,   32,
, 計 ,"   271,701","   1,877","   10,727","   2,369","   2,472","   2,792","   3,094","   20,361","   21,789","   19,064","   21,395","   23,051","   20,322","   22,475","   22,417","   20,433","   18,497","   12,597","   9,534","   9,041","   7,446","   5,708","   3,234","   1,268",   388,   63,   14,
 嘉 義 市 , 男 ,"   135,252",   975,"   5,657","   1,248","   1,295","   1,482","   1,632","   10,651","   11,305","   9,771","   10,863","   11,740","   9,774","   10,823","   10,950","   10,088","   9,133","   6,108","   4,484","   4,115","   3,485","   2,919","   1,636",   583,   166,   16,   10,
, 女 ,"   136,449",   902,"   5,070","   1,121","   1,177","   1,310","   1,462","   9,710","   10,484","   9,293","   10,532","   11,311","   10,548","   11,652","   11,467","   10,345","   9,364","   6,489","   5,050","   4,926","   3,961","   2,789","   1,598",   685,   222,   47,   4,
, 計 ,"   756,859","   5,706","   28,306","   6,456","   6,698","   7,183","   7,969","   49,126","   56,291","   54,106","   62,974","   67,417","   59,452","   63,914","   65,785","   62,557","   54,673","   35,480","   25,315","   22,122","   17,635","   13,676","   8,023","   3,169",   963,   137,   32,
 臺 南 市 , 男 ,"   378,088","   2,982","   14,764","   3,294","   3,533","   3,818","   4,119","   25,719","   29,133","   27,983","   32,266","   34,243","   29,061","   30,785","   31,765","   30,803","   27,121","   17,542","   12,214","   10,132","   8,289","   7,216","   4,132","   1,487",   385,   49,   17,
, 女 ,"   378,771","   2,724","   13,542","   3,162","   3,165","   3,365","   3,850","   23,407","   27,158","   26,123","   30,708","   33,174","   30,391","   33,129","   34,020","   31,754","   27,552","   17,938","   13,101","   11,990","   9,346","   6,460","   3,891","   1,682",   578,   88,   15,
, 計 ,"   2,616,375","   20,262","   100,483","   22,986","   24,231","   26,335","   26,931","   156,083","   170,954","   162,788","   186,779","   200,686","   195,220","   215,687","   226,491","   226,615","   214,099","   146,723","   98,204","   87,218","   72,170","   65,211","   43,070","   18,832","   6,813","   1,436",   551,
 臺 北 市 , 男 ,"   1,279,513","   10,682","   52,297","   12,103","   12,544","   13,726","   13,924","   81,302","   89,807","   84,371","   94,861","   98,191","   90,468","   98,766","   105,706","   106,895","   102,734","   70,247","   45,517","   38,865","   34,793","   35,755","   23,836","   10,026","   3,405",   704,   285,
, 女 ,"   1,336,862","   9,580","   48,186","   10,883","   11,687","   12,609","   13,007","   74,781","   81,147","   78,417","   91,918","   102,495","   104,752","   116,921","   120,785","   119,720","   111,365","   76,476","   52,687","   48,353","   37,377","   29,456","   19,234","   8,806","   3,408",   732,   266,
, 計 ,"   1,510,649","   11,248","   56,088","   12,533","   13,429","   14,620","   15,506","   96,596","   105,846","   101,484","   122,125","   136,503","   123,973","   128,306","   127,811","   123,658","   116,868","   77,417","   52,893","   44,678","   34,128","   27,759","   15,656","   5,588","   1,691",   262,   71,
 高 雄 市 , 男 ,"   755,971","   5,878","   29,271","   6,549","   6,964","   7,643","   8,115","   50,144","   55,096","   52,855","   62,504","   68,551","   60,865","   62,865","   62,250","   59,814","   56,677","   37,818","   25,689","   20,684","   16,882","   15,848","   8,560","   2,809",   766,   112,   33,
, 女 ,"   754,678","   5,370","   26,817","   5,984","   6,465","   6,977","   7,391","   46,452","   50,750","   48,629","   59,621","   67,952","   63,108","   65,441","   65,561","   63,844","   60,191","   39,599","   27,204","   23,994","   17,246","   11,911","   7,096","   2,779",   925,   150,   38,
, 計 ,"   80,609",   829,"   3,489",   867,   877,   861,   884,"   4,143","   4,208","   5,286","   6,733","   7,030","   6,447","   6,226","   6,370","   6,582","   5,804","   3,782","   3,469","   3,347","   2,803","   1,795","   1,242",   605,   301,   96,   22,
 福 建 省 , 男 ,"   43,125",   438,"   1,844",   455,   465,   471,   453,"   2,155","   2,165","   2,696","   3,488","   3,595","   3,522","   3,637","   3,788","   3,722","   3,058","   2,008","   1,925","   1,939","   1,546",   762,   482,   227,   90,   33,   5,
, 女 ,"   37,484",   391,"   1,645",   412,   412,   390,   431,"   1,988","   2,043","   2,590","   3,245","   3,435","   2,925","   2,589","   2,582","   2,860","   2,746","   1,774","   1,544","   1,408","   1,257","   1,033",   760,   378,   211,   63,   17,
, 計 ,"   70,264",   728,"   3,101",   784,   771,   761,   785,"   3,642","   3,708","   4,686","   5,910","   6,127","   5,543","   5,350","   5,421","   5,539","   4,969","   3,184","   3,115","   3,043","   2,567","   1,608","   1,118",   526,   271,   87,   21,
 金 門 縣 , 男 ,"   37,076",   378,"   1,631",   406,   403,   417,   405,"   1,896","   1,908","   2,400","   2,988","   3,084","   2,976","   3,055","   3,189","   3,076","   2,548","   1,656","   1,687","   1,758","   1,433",   673,   426,   198,   82,   29,   5,
, 女 ,"   33,188",   350,"   1,470",   378,   368,   344,   380,"   1,746","   1,800","   2,286","   2,922","   3,043","   2,567","   2,295","   2,232","   2,463","   2,421","   1,528","   1,428","   1,285","   1,134",   935,   692,   328,   189,   58,   16,
, 計 ,"   10,345",   101,   388,   83,   106,   100,   99,   501,   500,   600,   823,   903,   904,   876,   949,"   1,043",   835,   598,   354,   304,   236,   187,   124,   79,   30,   9,   1,
 連 江 縣 , 男 ,"   6,049",   60,   213,   49,   62,   54,   48,   259,   257,   296,   500,   511,   546,   582,   599,   646,   510,   352,   238,   181,   113,   89,   56,   29,   8,   4,—,
, 女 ,"   4,296",   41,   175,   34,   44,   46,   51,   242,   243,   304,   323,   392,   358,   294,   350,   397,   325,   246,   116,   123,   123,   98,   68,   50,   22,   5,   1,
,,,,,,,,,,,,,,,,,,,,,,,,,,內政部戶政司  編製,,,
