 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,                               表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
           中 華 民 國 96 年 底 ,,,,,,,,,,,,,,,,,,,    　　　　　                     　   中 華 民 國 96 年 底 ,,,,,,,,,   單位：人 ,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
 彰 化 縣 , 男 ,"   677,590","   6,191","   28,148","   6,726","   6,612","   7,301","   7,509","   42,091","   48,086","   50,735","   54,951","   64,054","   54,569","   49,602","   51,796","   52,169","   45,314","   36,361","   22,892","   23,787","   19,708","   14,874","   8,071","   3,175",   806,   187,   23,
, 女 ,"   636,764","   5,480","   25,303","   5,972","   6,189","   6,480","   6,662","   38,357","   43,818","   45,534","   51,484","   60,091","   49,920","   44,206","   46,305","   46,865","   41,718","   34,369","   22,199","   24,102","   21,961","   17,093","   10,626","   5,231","   1,667",   395,   40,
, 計 ,"   533,717","   4,281","   19,554","   4,615","   4,843","   5,016","   5,080","   30,359","   36,770","   37,818","   40,333","   45,718","   38,237","   38,985","   41,781","   42,561","   37,359","   30,785","   19,851","   21,967","   18,554","   14,850","   8,771","   3,810","   1,129",   215,   29,
 南 投 縣 , 男 ,"   276,368","   2,225","   10,137","   2,397","   2,502","   2,598","   2,640","   15,820","   18,954","   19,734","   20,823","   23,607","   20,081","   20,780","   22,481","   22,654","   19,726","   16,038","   9,974","   10,899","   8,946","   7,215","   4,172","   1,590",   421,   78,   13,
, 女 ,"   257,349","   2,056","   9,417","   2,218","   2,341","   2,418","   2,440","   14,539","   17,816","   18,084","   19,510","   22,111","   18,156","   18,205","   19,300","   19,907","   17,633","   14,747","   9,877","   11,068","   9,608","   7,635","   4,599","   2,220",   708,   137,   16,
, 計 ,"   725,672","   6,057","   28,377","   6,677","   7,024","   7,103","   7,573","   41,644","   46,474","   45,275","   52,533","   63,865","   56,248","   52,456","   54,704","   53,136","   47,479","   41,904","   30,823","   33,615","   29,029","   22,131","   12,437","   5,447","   1,655",   338,   45,
 雲 林 縣 , 男 ,"   381,078","   3,198","   15,059","   3,519","   3,710","   3,772","   4,058","   21,893","   24,152","   23,701","   27,110","   32,859","   30,105","   29,621","   31,792","   30,133","   25,814","   22,548","   15,596","   16,509","   13,540","   9,813","   5,130","   1,884",   509,   94,   18,
, 女 ,"   344,594","   2,859","   13,318","   3,158","   3,314","   3,331","   3,515","   19,751","   22,322","   21,574","   25,423","   31,006","   26,143","   22,835","   22,912","   23,003","   21,665","   19,356","   15,227","   17,106","   15,489","   12,318","   7,307","   3,563","   1,146",   244,   27,
, 計 ,"   551,345","   4,505","   21,319","   5,007","   5,339","   5,360","   5,613","   29,826","   32,521","   35,175","   39,400","   46,363","   40,828","   40,303","   43,360","   43,458","   37,471","   32,091","   21,525","   25,371","   23,157","   18,156","   10,205","   4,599","   1,399",   290,   23,
 嘉 義 縣 , 男 ,"   289,202","   2,368","   11,141","   2,627","   2,785","   2,803","   2,926","   15,631","   17,007","   18,290","   20,264","   23,702","   21,587","   22,529","   25,040","   24,644","   20,700","   17,139","   10,767","   12,300","   10,856","   8,327","   4,464","   1,845",   494,   99,   8,
, 女 ,"   262,143","   2,137","   10,178","   2,380","   2,554","   2,557","   2,687","   14,195","   15,514","   16,885","   19,136","   22,661","   19,241","   17,774","   18,320","   18,814","   16,771","   14,952","   10,758","   13,071","   12,301","   9,829","   5,741","   2,754",   905,   191,   15,
, 計 ,"   1,105,403","   8,445","   37,529","   8,973","   9,368","   9,384","   9,804","   58,405","   70,398","   76,688","   81,903","   97,488","   85,028","   81,876","   90,485","   93,654","   81,049","   64,615","   39,162","   41,097","   38,169","   31,114","   17,625","   7,761","   2,348",   510,   54,
 臺 南 縣 , 男 ,"   567,059","   4,464","   19,674","   4,728","   4,875","   4,938","   5,133","   30,405","   36,577","   39,827","   42,190","   50,179","   43,686","   42,487","   47,443","   49,380","   42,488","   33,327","   19,529","   19,760","   17,935","   15,214","   8,352","   3,148",   821,   152,   21,
, 女 ,"   538,344","   3,981","   17,855","   4,245","   4,493","   4,446","   4,671","   28,000","   33,821","   36,861","   39,713","   47,309","   41,342","   39,389","   43,042","   44,274","   38,561","   31,288","   19,633","   21,337","   20,234","   15,900","   9,273","   4,613","   1,527",   358,   33,
, 計 ,"   1,244,313","   10,223","   45,000","   11,064","   11,065","   11,204","   11,667","   67,443","   80,810","   87,634","   91,196","   114,881","   106,809","   99,488","   101,571","   101,956","   93,573","   76,429","   44,399","   40,965","   31,681","   26,202","   15,544","   6,457","   1,661",   345,   46,
 高 雄 縣 , 男 ,"   640,859","   5,372","   23,393","   5,768","   5,717","   5,869","   6,039","   35,095","   42,123","   45,754","   46,941","   59,155","   56,040","   52,836","   53,888","   52,103","   46,636","   37,725","   21,942","   19,705","   15,189","   14,454","   8,483","   3,124",   707,   172,   22,
, 女 ,"   603,454","   4,851","   21,607","   5,296","   5,348","   5,335","   5,628","   32,348","   38,687","   41,880","   44,255","   55,726","   50,769","   46,652","   47,683","   49,853","   46,937","   38,704","   22,457","   21,260","   16,492","   11,748","   7,061","   3,333",   954,   173,   24,
, 計 ,"   889,563","   6,714","   31,446","   7,502","   7,642","   7,945","   8,357","   49,579","   61,248","   61,073","   64,477","   77,582","   68,500","   67,415","   71,200","   71,204","   64,675","   53,714","   33,960","   34,899","   29,043","   22,692","   12,768","   5,611","   1,468",   249,   46,
 屏 東 縣 , 男 ,"   459,947","   3,530","   16,443","   3,940","   3,972","   4,238","   4,293","   25,738","   32,001","   31,484","   33,068","   40,044","   36,127","   35,843","   38,357","   37,446","   33,078","   27,565","   16,961","   17,397","   13,978","   11,343","   6,309","   2,471",   630,   106,   28,
, 女 ,"   429,616","   3,184","   15,003","   3,562","   3,670","   3,707","   4,064","   23,841","   29,247","   29,589","   31,409","   37,538","   32,373","   31,572","   32,843","   33,758","   31,597","   26,149","   16,999","   17,502","   15,065","   11,349","   6,459","   3,140",   838,   143,   18,
, 計 ,"   233,660","   1,967","   9,052","   2,239","   2,220","   2,267","   2,326","   13,383","   15,576","   15,609","   16,589","   19,435","   17,879","   18,395","   19,116","   18,158","   16,388","   13,376","   9,155","   8,992","   7,569","   6,315","   4,277","   1,802",   483,   122,   22,
 臺 東 縣 , 男 ,"   123,197","   1,029","   4,749","   1,169","   1,161","   1,170","   1,249","   6,903","   8,065","   8,217","   8,671","   10,262","   9,725","   10,300","   10,855","   9,900","   8,542","   6,635","   4,441","   4,245","   3,571","   3,334","   2,438",   960,   273,   71,   11,
, 女 ,"   110,463",   938,"   4,303","   1,070","   1,059","   1,097","   1,077","   6,480","   7,511","   7,392","   7,918","   9,173","   8,154","   8,095","   8,261","   8,258","   7,846","   6,741","   4,714","   4,747","   3,998","   2,981","   1,839",   842,   210,   51,   11,
, 計 ,"   343,302","   2,669","   12,511","   2,998","   3,002","   3,206","   3,305","   19,300","   24,190","   23,685","   24,590","   29,184","   26,462","   26,349","   26,898","   27,307","   25,310","   20,241","   13,255","   12,560","   10,284","   8,753","   6,082","   2,599",   830,   211,   32,
 花 蓮 縣 , 男 ,"   178,376","   1,391","   6,559","   1,584","   1,534","   1,706","   1,735","   10,100","   12,453","   12,146","   12,784","   15,379","   13,880","   14,053","   14,545","   14,100","   13,157","   10,080","   6,432","   5,948","   4,864","   4,834","   3,626","   1,455",   470,   105,   15,
, 女 ,"   164,926","   1,278","   5,952","   1,414","   1,468","   1,500","   1,570","   9,200","   11,737","   11,539","   11,806","   13,805","   12,582","   12,296","   12,353","   13,207","   12,153","   10,161","   6,823","   6,612","   5,420","   3,919","   2,456","   1,144",   360,   106,   17,
, 計 ,"   92,390",   738,"   3,483",   854,   840,   857,   932,"   4,821","   5,430","   5,782","   6,584","   7,918","   7,547","   7,087","   7,073","   7,061","   6,177","   5,223","   3,593","   3,551","   3,744","   3,305","   1,986",   966,   260,   58,   3,
 澎 湖 縣 , 男 ,"   47,705",   386,"   1,814",   441,   419,   440,   514,"   2,518","   2,839","   2,938","   3,428","   3,959","   3,904","   3,813","   3,974","   3,804","   3,299","   2,615","   1,765","   1,752","   1,815","   1,647",   936,   388,   92,   18,   1,
, 女 ,"   44,685",   352,"   1,669",   413,   421,   417,   418,"   2,303","   2,591","   2,844","   3,156","   3,959","   3,643","   3,274","   3,099","   3,257","   2,878","   2,608","   1,828","   1,799","   1,929","   1,658","   1,050",   578,   168,   40,   2,
, 計 ,"   390,397","   2,741","   12,436","   2,989","   2,974","   3,185","   3,288","   21,619","   27,737","   28,058","   26,924","   32,631","   30,883","   32,206","   33,610","   33,966","   30,245","   23,548","   12,646","   13,232","   10,332","   8,343","   5,679","   2,523",   794,   199,   45,
 基 隆 市 , 男 ,"   197,788","   1,422","   6,498","   1,527","   1,555","   1,658","   1,758","   11,247","   14,345","   14,625","   13,915","   16,699","   15,711","   16,378","   17,207","   17,278","   15,081","   11,466","   6,034","   6,069","   4,676","   4,329","   3,015","   1,300",   376,   90,   27,
, 女 ,"   192,609","   1,319","   5,938","   1,462","   1,419","   1,527","   1,530","   10,372","   13,392","   13,433","   13,009","   15,932","   15,172","   15,828","   16,403","   16,688","   15,164","   12,082","   6,612","   7,163","   5,656","   4,014","   2,664","   1,223",   418,   109,   18,
, 計 ,"   399,035","   4,686","   18,946","   4,829","   4,535","   4,815","   4,767","   27,787","   30,464","   27,853","   26,809","   33,528","   34,516","   35,438","   33,239","   30,686","   26,013","   20,056","   12,254","   11,187","   8,673","   7,833","   5,594","   2,475",   748,   188,   62,
 新 竹 市 , 男 ,"   199,683","   2,395","   9,834","   2,477","   2,335","   2,534","   2,488","   14,564","   15,652","   14,550","   13,725","   16,475","   16,538","   17,460","   16,825","   15,447","   12,820","   9,705","   5,786","   4,937","   3,905","   4,056","   3,142","   1,353",   373,   101,   40,
, 女 ,"   199,352","   2,291","   9,112","   2,352","   2,200","   2,281","   2,279","   13,223","   14,812","   13,303","   13,084","   17,053","   17,978","   17,978","   16,414","   15,239","   13,193","   10,351","   6,468","   6,250","   4,768","   3,777","   2,452","   1,122",   375,   87,   22,
, 計 ,"   1,055,898","   8,744","   40,265","   9,363","   9,722","   10,335","   10,845","   72,832","   87,194","   78,308","   73,439","   86,084","   86,122","   96,630","   96,998","   88,007","   73,469","   55,481","   30,447","   26,884","   19,976","   16,957","   11,329","   4,862","   1,416",   369,   85,
 臺 中 市 , 男 ,"   516,052","   4,544","   21,049","   4,931","   5,083","   5,318","   5,717","   38,007","   45,324","   40,547","   37,461","   42,303","   40,005","   43,731","   44,950","   41,983","   35,444","   26,620","   14,204","   12,055","   9,042","   9,052","   6,422","   2,483",   626,   157,   43,
, 女 ,"   539,846","   4,200","   19,216","   4,432","   4,639","   5,017","   5,128","   34,825","   41,870","   37,761","   35,978","   43,781","   46,117","   52,899","   52,048","   46,024","   38,025","   28,861","   16,243","   14,829","   10,934","   7,905","   4,907","   2,379",   790,   212,   42,
, 計 ,"   273,075","   2,001","   9,627","   2,222","   2,138","   2,518","   2,749","   18,516","   22,790","   19,443","   19,105","   22,798","   21,190","   21,776","   22,539","   21,082","   18,673","   15,433","   9,566","   9,208","   7,590","   5,938","   3,662","   1,577",   458,   90,   13,
 嘉 義 市 , 男 ,"   135,112","   1,038","   4,995","   1,124","   1,099","   1,344","   1,428","   9,774","   11,716","   10,064","   9,701","   11,516","   10,163","   10,291","   10,940","   10,432","   9,233","   7,380","   4,507","   4,245","   3,378","   2,876","   1,882",   767,   173,   33,   8,
, 女 ,"   137,963",   963,"   4,632","   1,098","   1,039","   1,174","   1,321","   8,742","   11,074","   9,379","   9,404","   11,282","   11,027","   11,485","   11,599","   10,650","   9,440","   8,053","   5,059","   4,963","   4,212","   3,062","   1,780",   810,   285,   57,   5,
, 計 ,"   764,658","   5,968","   26,265","   6,395","   6,275","   6,663","   6,932","   44,135","   56,529","   54,468","   56,684","   67,880","   63,518","   63,165","   64,601","   64,344","   56,911","   44,953","   25,728","   23,110","   18,135","   14,201","   8,912","   3,793","   1,122",   203,   33,
 臺 南 市 , 男 ,"   380,337","   3,117","   13,651","   3,311","   3,291","   3,379","   3,670","   23,129","   29,288","   28,283","   29,081","   34,339","   31,298","   30,183","   31,054","   31,205","   28,215","   22,229","   12,392","   10,760","   8,081","   7,130","   4,583","   1,763",   473,   65,   18,
, 女 ,"   384,321","   2,851","   12,614","   3,084","   2,984","   3,284","   3,262","   21,006","   27,241","   26,185","   27,603","   33,541","   32,220","   32,982","   33,547","   33,139","   28,696","   22,724","   13,336","   12,350","   10,054","   7,071","   4,329","   2,030",   649,   138,   15,
, 計 ,"   2,629,269","   20,747","   91,371","   22,295","   22,330","   22,969","   23,777","   138,846","   171,609","   162,992","   166,368","   199,892","   198,742","   212,163","   222,515","   225,615","   217,329","   181,536","   105,029","   94,560","   73,220","   65,664","   47,529","   23,269","   7,772","   1,938",   563,
 臺 北 市 , 男 ,"   1,277,556","   10,683","   47,791","   11,551","   11,791","   12,129","   12,320","   72,422","   89,260","   85,089","   84,550","   98,247","   92,424","   96,358","   102,855","   106,129","   103,154","   86,258","   49,171","   42,350","   32,870","   34,369","   25,858","   12,512","   3,908","   1,003",   295,
, 女 ,"   1,351,713","   10,064","   43,580","   10,744","   10,539","   10,840","   11,457","   66,424","   82,349","   77,903","   81,818","   101,645","   106,318","   115,805","   119,660","   119,486","   114,175","   95,278","   55,858","   52,210","   40,350","   31,295","   21,671","   10,757","   3,864",   935,   268,
, 計 ,"   1,520,555","   11,273","   51,535","   12,050","   12,521","   12,976","   13,988","   86,688","   106,261","   102,040","   107,226","   134,867","   130,025","   128,039","   126,473","   124,536","   118,799","   97,392","   55,000","   48,912","   35,543","   28,336","   18,015","   7,236","   1,886",   389,   84,
 高 雄 市 , 男 ,"   756,607","   5,983","   26,796","   6,247","   6,543","   6,799","   7,207","   45,132","   55,103","   53,061","   55,330","   67,457","   63,653","   62,225","   61,476","   60,193","   57,251","   46,889","   26,559","   22,870","   16,567","   15,278","   10,055","   3,679",   840,   167,   43,
, 女 ,"   763,948","   5,290","   24,739","   5,803","   5,978","   6,177","   6,781","   41,556","   51,158","   48,979","   51,896","   67,410","   66,372","   65,814","   64,997","   64,343","   61,548","   50,503","   28,441","   26,042","   18,976","   13,058","   7,960","   3,557","   1,046",   222,   41,
, 計 ,"   91,493",   996,"   3,582",   919,   916,   887,   860,"   4,060","   4,403","   5,520","   6,924","   7,627","   7,562","   7,239","   7,601","   7,520","   7,671","   5,535","   3,943","   3,541","   3,104","   2,134","   1,349",   746,   289,   123,   24,
 福 建 省 , 男 ,"   49,215",   553,"   1,887",   483,   477,   463,   464,"   2,123","   2,252","   2,858","   3,542","   3,858","   3,965","   4,195","   4,508","   4,395","   4,233","   2,960","   2,195","   1,993","   1,755","   1,002",   517,   293,   87,   39,   5,
, 女 ,"   42,278",   443,"   1,695",   436,   439,   424,   396,"   1,937","   2,151","   2,662","   3,382","   3,769","   3,597","   3,044","   3,093","   3,125","   3,438","   2,575","   1,748","   1,548","   1,349","   1,132",   832,   453,   202,   84,   19,
, 計 ,"   81,547",   893,"   3,191",   824,   809,   803,   755,"   3,591","   3,920","   4,889","   6,283","   6,783","   6,709","   6,430","   6,722","   6,579","   6,766","   4,914","   3,548","   3,278","   2,839","   1,935","   1,212",   668,   258,   115,   24,
 金 門 縣 , 男 ,"   43,399",   495,"   1,660",   430,   413,   414,   403,"   1,881","   2,021","   2,505","   3,165","   3,369","   3,479","   3,672","   3,935","   3,817","   3,690","   2,585","   1,940","   1,825","   1,625",   905,   455,   259,   76,   35,   5,
, 女 ,"   38,148",   398,"   1,531",   394,   396,   389,   352,"   1,710","   1,899","   2,384","   3,118","   3,414","   3,230","   2,758","   2,787","   2,762","   3,076","   2,329","   1,608","   1,453","   1,214","   1,030",   757,   409,   182,   80,   19,
, 計 ,"   9,946",   103,   391,   95,   107,   84,   105,   469,   483,   631,   641,   844,   853,   809,   879,   941,   905,   621,   395,   263,   265,   199,   137,   78,   31,   8,—,
 連 江 縣 , 男 ,"   5,816",   58,   227,   53,   64,   49,   61,   242,   231,   353,   377,   489,   486,   523,   573,   578,   543,   375,   255,   168,   130,   97,   62,   34,   11,   4,—,
, 女 ,"   4,130",   45,   164,   42,   43,   35,   44,   227,   252,   278,   264,   355,   367,   286,   306,   363,   362,   246,   140,   95,   135,   102,   75,   44,   20,   4,—,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,內政部戶政司 民國97年2月21日編製,
