 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  81 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
, 計 ,"   553,557","   9,296","   37,539","   9,387","   9,754","   9,076","   9,322","   43,836","   50,668","   48,101","   53,209","   52,981","   47,174","   38,716","   31,176","   22,041","   25,838","   24,179","   23,110","   17,900","   12,450","   8,274","   4,465","   2,002",   526,   70,   6
 苗 栗 縣 , 男 ,"   289,982","   4,890","   19,489","   4,896","   5,061","   4,694","   4,838","   22,568","   26,113","   24,757","   27,512","   28,558","   25,981","   20,909","   16,429","   11,449","   13,548","   12,620","   12,294","   9,461","   6,326","   4,099","   1,962",   826,   167,   22,   2
, 女 ,"   263,575","   4,406","   18,050","   4,491","   4,693","   4,382","   4,484","   21,268","   24,555","   23,344","   25,697","   24,423","   21,193","   17,807","   14,747","   10,592","   12,290","   11,559","   10,816","   8,439","   6,124","   4,175","   2,503","   1,176",   359,   48,   4
, 計 ,"   1,317,505","   21,036","   90,520","   21,953","   23,063","   21,845","   23,659","   120,666","   140,280","   124,527","   116,482","   121,953","   120,266","   108,298","   84,109","   53,006","   51,604","   44,879","   43,615","   33,284","   21,166","   12,568","   6,248","   2,342",   577,   73,   6
 臺 中 縣 , 男 ,"   679,023","   10,965","   47,168","   11,570","   11,932","   11,332","   12,334","   62,073","   72,006","   63,565","   59,335","   61,245","   61,258","   55,676","   43,694","   27,077","   26,205","   23,058","   25,070","   19,531","   11,309","   5,980","   2,713",   874,   192,   28,   1
, 女 ,"   638,482","   10,071","   43,352","   10,383","   11,131","   10,513","   11,325","   58,593","   68,274","   60,962","   57,147","   60,708","   59,008","   52,622","   40,415","   25,929","   25,399","   21,821","   18,545","   13,753","   9,857","   6,588","   3,535","   1,468",   385,   45,   5
, 計 ,"   1,264,955","   20,261","   85,073","   20,742","   21,690","   20,667","   21,974","   109,150","   128,924","   119,258","   114,723","   115,367","   106,653","   92,218","   75,922","   50,535","   56,344","   53,239","   47,360","   35,679","   25,096","   15,824","   9,191","   3,313",   712,   99,   14
 彰 化 縣 , 男 ,"   654,355","   10,566","   44,679","   10,881","   11,383","   10,877","   11,538","   56,461","   66,561","   61,256","   58,628","   60,512","   56,886","   48,948","   39,969","   26,669","   29,488","   27,207","   24,375","   17,951","   11,785","   7,144","   3,774","   1,235",   229,   28,   4
, 女 ,"   610,600","   9,695","   40,394","   9,861","   10,307","   9,790","   10,436","   52,689","   62,363","   58,002","   56,095","   54,855","   49,767","   43,270","   35,953","   23,866","   26,856","   26,032","   22,985","   17,728","   13,311","   8,680","   5,417","   2,078",   483,   71,   10
, 計 ,"   542,396","   8,838","   35,935","   8,864","   9,175","   8,799","   9,097","   42,815","   48,782","   46,224","   50,717","   51,805","   46,523","   39,660","   33,070","   22,863","   26,177","   24,312","   22,439","   17,208","   11,846","   7,345","   4,101","   1,389",   302,   44,   1
 南 投 縣 , 男 ,"   283,544","   4,639","   18,609","   4,584","   4,767","   4,505","   4,753","   22,147","   25,197","   23,678","   26,141","   27,665","   25,219","   21,362","   17,621","   11,873","   13,591","   12,532","   12,010","   9,290","   5,957","   3,525","   1,825",   533,   115,   15,—
, 女 ,"   258,852","   4,199","   17,326","   4,280","   4,408","   4,294","   4,344","   20,668","   23,585","   22,546","   24,576","   24,140","   21,304","   18,298","   15,449","   10,990","   12,586","   11,780","   10,429","   7,918","   5,889","   3,820","   2,276",   856,   187,   29,   1
, 計 ,"   753,841","   11,381","   44,762","   11,398","   11,542","   10,668","   11,154","   53,412","   67,474","   68,420","   73,927","   72,193","   58,343","   49,746","   44,587","   33,993","   39,584","   37,539","   34,273","   25,149","   18,009","   11,750","   6,555","   2,209",   468,   63,   4
 雲 林 縣 , 男 ,"   395,075","   5,919","   23,506","   6,011","   6,095","   5,659","   5,741","   27,624","   34,563","   35,061","   38,628","   40,607","   33,474","   27,395","   24,520","   17,942","   20,599","   18,970","   17,143","   12,337","   8,126","   5,115","   2,581",   792,   150,   22,   1
, 女 ,"   358,766","   5,462","   21,256","   5,387","   5,447","   5,009","   5,413","   25,788","   32,911","   33,359","   35,299","   31,586","   24,869","   22,351","   20,067","   16,051","   18,985","   18,569","   17,130","   12,812","   9,883","   6,635","   3,974","   1,417",   318,   41,   3
, 計 ,"   556,580","   8,733","   34,735","   9,021","   9,090","   8,142","   8,482","   37,436","   44,257","   47,032","   54,087","   56,645","   46,812","   37,173","   31,919","   22,719","   28,820","   29,144","   27,045","   19,687","   13,869","   8,866","   5,402","   1,733",   392,   66,   8
 嘉 義 縣 , 男 ,"   292,613","   4,489","   17,968","   4,621","   4,739","   4,208","   4,400","   19,450","   22,737","   23,916","   28,018","   31,603","   27,220","   21,093","   17,406","   11,636","   14,644","   14,565","   13,792","   10,060","   6,821","   4,075","   2,283",   669,   145,   20,   3
, 女 ,"   263,967","   4,244","   16,767","   4,400","   4,351","   3,934","   4,082","   17,986","   21,520","   23,116","   26,069","   25,042","   19,592","   16,080","   14,513","   11,083","   14,176","   14,579","   13,253","   9,627","   7,048","   4,791","   3,119","   1,064",   247,   46,   5
, 計 ,"   1,046,659","   14,934","   63,874","   15,575","   16,368","   15,190","   16,741","   78,990","   94,193","   88,625","   92,294","   100,955","   96,347","   80,667","   65,318","   42,039","   46,962","   48,728","   46,540","   34,537","   23,966","   14,838","   9,068","   2,940",   739,   98,   7
 臺 南 縣 , 男 ,"   546,704","   7,845","   33,335","   8,168","   8,607","   7,850","   8,710","   40,889","   48,612","   45,556","   47,904","   53,635","   52,537","   43,525","   34,550","   21,699","   23,740","   24,516","   24,882","   18,751","   12,367","   7,017","   3,817","   1,205",   283,   39,—
, 女 ,"   499,955","   7,089","   30,539","   7,407","   7,761","   7,340","   8,031","   38,101","   45,581","   43,069","   44,390","   47,320","   43,810","   37,142","   30,768","   20,340","   23,222","   24,212","   21,658","   15,786","   11,599","   7,821","   5,251","   1,735",   456,   59,   7
, 計 ,"   1,146,578","   17,277","   71,734","   17,659","   18,458","   17,033","   18,584","   87,296","   106,834","   110,047","   110,590","   109,610","   103,664","   93,159","   78,036","   49,006","   49,179","   42,743","   41,693","   33,070","   21,824","   12,099","   6,245","   1,916",   473,   78,   5
 高 雄 縣 , 男 ,"   599,291","   9,066","   37,159","   9,214","   9,630","   8,655","   9,660","   44,643","   54,920","   56,538","   57,225","   58,310","   54,424","   48,353","   40,000","   25,100","   24,917","   21,872","   24,487","   19,866","   12,221","   6,279","   2,894",   802,   190,   25,—
, 女 ,"   547,287","   8,211","   34,575","   8,445","   8,828","   8,378","   8,924","   42,653","   51,914","   53,509","   53,365","   51,300","   49,240","   44,806","   38,036","   23,906","   24,262","   20,871","   17,206","   13,204","   9,603","   5,820","   3,351","   1,114",   283,   53,   5
, 計 ,"   901,491","   13,186","   54,053","   13,513","   13,783","   12,802","   13,955","   66,843","   83,027","   81,238","   86,151","   86,869","   78,100","   68,611","   57,988","   38,632","   42,430","   38,949","   36,749","   28,315","   20,410","   12,054","   5,856","   1,646",   340,   36,   8
 屏 東 縣 , 男 ,"   472,436","   6,851","   28,008","   6,979","   7,106","   6,634","   7,289","   34,418","   42,498","   41,752","   44,679","   46,914","   42,051","   36,191","   30,683","   19,980","   22,239","   20,037","   19,907","   15,657","   10,769","   6,221","   2,752",   692,   128,   7,   2
, 女 ,"   429,055","   6,335","   26,045","   6,534","   6,677","   6,168","   6,666","   32,425","   40,529","   39,486","   41,472","   39,955","   36,049","   32,420","   27,305","   18,652","   20,191","   18,912","   16,842","   12,658","   9,641","   5,833","   3,104",   954,   212,   29,   6
, 計 ,"   255,362","   3,776","   14,494","   3,724","   3,702","   3,463","   3,605","   17,585","   22,032","   24,150","   27,003","   25,016","   20,672","   18,039","   14,963","   10,718","   11,182","   10,679","   11,052","   10,124","   6,922","   4,170","   1,966",   643,   152,   22,   2
 臺 東 縣 , 男 ,"   139,969","   1,944","   7,679","   1,992","   1,958","   1,829","   1,900","   9,141","   11,309","   12,529","   14,640","   14,735","   12,057","   10,056","   7,799","   5,508","   5,641","   5,458","   6,436","   6,485","   4,402","   2,623","   1,140",   307,   73,   7,—
, 女 ,"   115,393","   1,832","   6,815","   1,732","   1,744","   1,634","   1,705","   8,444","   10,723","   11,621","   12,363","   10,281","   8,615","   7,983","   7,164","   5,210","   5,541","   5,221","   4,616","   3,639","   2,520","   1,547",   826,   336,   79,   15,   2
, 計 ,"   355,609","   5,140","   20,543","   5,262","   5,283","   4,918","   5,080","   25,609","   31,813","   32,705","   34,423","   32,724","   30,162","   27,141","   22,349","   15,407","   15,770","   14,373","   15,005","   13,706","   9,210","   5,449","   2,802",   967,   261,   46,   4
 花 蓮 縣 , 男 ,"   191,467","   2,685","   10,440","   2,688","   2,672","   2,483","   2,597","   13,215","   16,520","   16,776","   18,069","   18,236","   16,310","   14,616","   11,559","   7,893","   7,962","   7,331","   9,096","   9,059","   6,097","   3,456","   1,526",   483,   117,   21,—
, 女 ,"   164,142","   2,455","   10,103","   2,574","   2,611","   2,435","   2,483","   12,394","   15,293","   15,929","   16,354","   14,488","   13,852","   12,525","   10,790","   7,514","   7,808","   7,042","   5,909","   4,647","   3,113","   1,993","   1,276",   484,   144,   25,   4
, 計 ,"   95,085","   1,245","   4,876","   1,243","   1,230","   1,119","   1,284","   6,463","   8,204","   9,178","   9,921","   8,943","   7,631","   6,346","   5,375","   3,727","   3,997","   4,629","   4,799","   3,860","   2,753","   1,641","   1,001",   372,   103,   18,   3
 澎 湖 縣 , 男 ,"   50,550",   622,"   2,465",   643,   640,   549,   633,"   3,349","   4,208","   4,760","   5,372","   5,265","   4,365","   3,528","   2,806","   1,891","   2,041","   2,400","   2,672","   2,142","   1,362",   753,   383,   128,   36,   2,—
, 女 ,"   44,535",   623,"   2,411",   600,   590,   570,   651,"   3,114","   3,996","   4,418","   4,549","   3,678","   3,266","   2,818","   2,569","   1,836","   1,956","   2,229","   2,127","   1,718","   1,391",   888,   618,   244,   67,   16,   3
, 計 ,"   359,482","   4,995","   21,776","   5,384","   5,612","   5,126","   5,654","   26,672","   32,696","   31,934","   33,970","   34,673","   34,525","   30,781","   24,519","   13,968","   15,641","   13,398","   13,277","   11,496","   7,526","   4,375","   2,194",   791,   229,   36,   10
 基 隆 市 , 男 ,"   186,269","   2,620","   11,313","   2,778","   2,898","   2,730","   2,907","   13,772","   16,808","   16,343","   17,448","   17,956","   17,947","   15,760","   12,337","   6,921","   7,645","   6,657","   7,538","   6,944","   4,398","   2,421","   1,069",   299,   66,   5,   2
, 女 ,"   173,213","   2,375","   10,463","   2,606","   2,714","   2,396","   2,747","   12,900","   15,888","   15,591","   16,522","   16,717","   16,578","   15,021","   12,182","   7,047","   7,996","   6,741","   5,739","   4,552","   3,128","   1,954","   1,125",   492,   163,   31,   8
, 計 ,"   332,707","   5,120","   22,515","   5,512","   5,783","   5,405","   5,815","   27,923","   32,355","   29,188","   28,816","   30,674","   31,354","   27,867","   21,806","   13,671","   13,474","   11,264","   11,536","   10,752","   7,382","   4,059","   1,911",   797,   201,   28,   14
 新 竹 市 , 男 ,"   172,072","   2,710","   11,828","   2,872","   3,080","   2,829","   3,047","   14,503","   16,863","   15,347","   14,673","   15,329","   15,905","   14,028","   10,961","   6,681","   6,366","   5,454","   6,447","   6,641","   4,593","   2,303","   1,016",   331,   82,   8,   3
, 女 ,"   160,635","   2,410","   10,687","   2,640","   2,703","   2,576","   2,768","   13,420","   15,492","   13,841","   14,143","   15,345","   15,449","   13,839","   10,845","   6,990","   7,108","   5,810","   5,089","   4,111","   2,789","   1,756",   895,   466,   119,   20,   11
, 計 ,"   794,960","   11,590","   53,576","   12,519","   13,590","   12,925","   14,542","   73,320","   84,994","   69,362","   65,348","   72,233","   79,479","   73,778","   57,944","   32,623","   29,871","   23,989","   23,099","   19,528","   12,296","   6,943","   3,432","   1,193",   314,   43,   5
 臺 中 市 , 男 ,"   400,576","   6,036","   27,873","   6,501","   7,018","   6,790","   7,564","   37,979","   43,853","   35,464","   32,993","   34,638","   37,937","   35,942","   28,442","   16,053","   14,430","   11,792","   12,936","   11,590","   6,902","   3,561","   1,562",   470,   111,   12,—
, 女 ,"   394,384","   5,554","   25,703","   6,018","   6,572","   6,135","   6,978","   35,341","   41,141","   33,898","   32,355","   37,595","   41,542","   37,836","   29,502","   16,570","   15,441","   12,197","   10,163","   7,938","   5,394","   3,382","   1,870",   723,   203,   31,   5
, 計 ,"   258,698","   3,188","   14,569","   3,439","   3,753","   3,480","   3,897","   21,277","   26,631","   23,777","   23,150","   23,848","   22,930","   20,834","   17,749","   11,222","   11,685","   10,697","   9,620","   7,414","   4,970","   2,891","   1,583",   524,   125,   14,—
 嘉 義 市 , 男 ,"   131,786","   1,682","   7,616","   1,805","   1,951","   1,830","   2,030","   10,934","   13,761","   12,166","   11,894","   12,254","   11,587","   10,532","   8,823","   5,556","   5,680","   5,206","   5,054","   4,120","   2,608","   1,424",   659,   188,   40,   2,—
, 女 ,"   126,912","   1,506","   6,953","   1,634","   1,802","   1,650","   1,867","   10,343","   12,870","   11,611","   11,256","   11,594","   11,343","   10,302","   8,926","   5,666","   6,005","   5,491","   4,566","   3,294","   2,362","   1,467",   924,   336,   85,   12,—
, 計 ,"   694,630","   9,105","   42,589","   10,026","   10,558","   10,327","   11,678","   59,950","   72,363","   63,124","   59,284","   63,582","   67,292","   62,138","   50,103","   29,596","   28,262","   24,124","   21,712","   17,469","   11,743","   7,082","   3,625","   1,167",   273,   39,   8
 臺 南 市 , 男 ,"   353,199","   4,756","   22,152","   5,252","   5,455","   5,390","   6,055","   30,925","   37,308","   32,169","   29,969","   31,223","   33,005","   31,379","   25,627","   14,963","   13,990","   11,685","   11,844","   9,894","   6,404","   3,613","   1,661",   511,   100,   19,   2
, 女 ,"   341,431","   4,349","   20,437","   4,774","   5,103","   4,937","   5,623","   29,025","   35,055","   30,955","   29,315","   32,359","   34,287","   30,759","   24,476","   14,633","   14,272","   12,439","   9,868","   7,575","   5,339","   3,469","   1,964",   656,   173,   20,   6
, 計 ,"   2,696,073","   33,700","   151,356","   35,525","   38,279","   37,139","   40,413","   207,060","   245,721","   216,178","   217,277","   240,162","   268,401","   265,978","   222,048","   133,774","   116,029","   92,279","   90,676","   79,577","   56,720","   33,314","   16,941","   6,546","   1,798",   448,   90
 臺 北 市 , 男 ,"   1,356,914","   17,424","   78,868","   18,585","   20,023","   19,218","   21,042","   107,381","   126,857","   109,909","   108,765","   115,462","   127,886","   127,862","   108,609","   66,234","   56,131","   44,979","   50,451","   46,312","   32,791","   18,296","   8,795","   2,958",   746,   167,   31
, 女 ,"   1,339,159","   16,276","   72,488","   16,940","   18,256","   17,921","   19,371","   99,679","   118,864","   106,269","   108,512","   124,700","   140,515","   138,116","   113,439","   67,540","   59,898","   47,300","   40,225","   33,265","   23,929","   15,018","   8,146","   3,588","   1,052",   281,   59
, 計 ,"   1,405,909","   18,350","   82,268","   19,488","   20,872","   19,688","   22,220","   115,312","   146,718","   134,883","   124,685","   124,974","   132,289","   132,633","   111,749","   64,862","   58,481","   45,628","   41,210","   33,103","   20,473","   10,960","   5,201","   1,650",   408,   65,   7
 高 雄 市 , 男 ,"   718,276","   9,517","   42,606","   10,153","   10,858","   10,121","   11,474","   60,070","   75,698","   69,220","   63,626","   62,140","   64,740","   64,947","   55,955","   33,241","   29,258","   23,060","   23,827","   19,877","   11,605","   5,653","   2,380",   686,   149,   21,—
, 女 ,"   687,633","   8,833","   39,662","   9,335","   10,014","   9,567","   10,746","   55,242","   71,020","   65,663","   61,059","   62,834","   67,549","   67,686","   55,794","   31,621","   29,223","   22,568","   17,383","   13,226","   8,868","   5,307","   2,821",   964,   259,   44,   7
, 計 ,"   50,128",   695,"   3,188",   690,   781,   787,   930,"   5,076","   5,768","   5,764","   3,470","   3,053","   3,104","   3,450","   2,658","   2,088","   2,356","   2,554","   2,118","   1,590","   1,191",   889,   615,   324,   135,   31,   11
 福 建 省 , 男 ,"   26,328",   360,"   1,656",   361,   404,   416,   475,"   2,580","   2,938","   3,108","   2,161","   1,809","   1,572","   1,619","   1,297","   1,118","   1,355","   1,537","   1,131",   774,   592,   332,   216,   115,   44,   12,   2
, 女 ,"   23,800",   335,"   1,532",   329,   377,   371,   455,"   2,496","   2,830","   2,656","   1,309","   1,244","   1,532","   1,831","   1,361",   970,"   1,001","   1,017",   987,   816,   599,   557,   399,   209,   91,   19,   9
, 計 ,"   44,170",   618,"   2,899",   610,   718,   727,   844,"   4,632","   5,111","   5,029","   2,884","   2,567","   2,661","   2,965","   2,284","   1,823","   2,096","   2,336","   1,945","   1,432","   1,067",   793,   561,   297,   129,   31,   10
 金 門 縣 , 男 ,"   22,991",   321,"   1,498",   311,   369,   384,   434,"   2,357","   2,604","   2,724","   1,817","   1,491","   1,314","   1,364","   1,077",   963,"   1,191","   1,418","   1,026",   674,   519,   288,   190,   100,   41,   12,   2
, 女 ,"   21,179",   297,"   1,401",   299,   349,   343,   410,"   2,275","   2,507","   2,305","   1,067","   1,076","   1,347","   1,601","   1,207",   860,   905,   918,   919,   758,   548,   505,   371,   197,   88,   19,   8
, 計 ,"   5,958",   77,   289,   80,   63,   60,   86,   444,   657,   735,   586,   486,   443,   485,   374,   265,   260,   218,   173,   158,   124,   96,   54,   27,   6,—,   1
 連 江 縣 , 男 ,"   3,337",   39,   158,   50,   35,   32,   41,   223,   334,   384,   344,   318,   258,   255,   220,   155,   164,   119,   105,   100,   73,   44,   26,   15,   3,—,—
, 女 ,"   2,621",   38,   131,   30,   28,   28,   45,   221,   323,   351,   242,   168,   185,   230,   154,   110,   96,   99,   68,   58,   51,   52,   28,   12,   3,—,   1
