 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,                     表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
           中 華 民 國 95 年 底 ,,,,,,,,,,,,,,,,,,,    　　　　　　  中 華 民 國 95 年 底 ,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
, 計 ,"   3,767,095","   30,315","   138,993","   31,976","   33,813","   35,163","   38,041","   232,353","   263,627","   275,673","   304,105","   350,987","   322,503","   316,021","   332,249","   320,959","   289,116","   201,249","   113,249","   94,127","   67,329","   56,702","   35,305","   15,470","   5,218","   1,147",   398,
 臺 北 縣 , 男 ,"   1,887,030","   15,869","   72,870","   16,581","   17,797","   18,562","   19,930","   120,533","   136,973","   143,304","   155,971","   178,023","   161,877","   156,250","   160,033","   154,216","   139,533","   97,846","   55,173","   44,046","   32,326","   31,582","   19,398","   7,982","   2,483",   517,   225,
, 女 ,"   1,880,065","   14,446","   66,123","   15,395","   16,016","   16,601","   18,111","   111,820","   126,654","   132,369","   148,134","   172,964","   160,626","   159,771","   172,216","   166,743","   149,583","   103,403","   58,076","   50,081","   35,003","   25,120","   15,907","   7,488","   2,735",   630,   173,
, 計 ,"   460,426","   3,732","   17,549","   4,047","   4,295","   4,498","   4,709","   28,252","   33,485","   33,494","   35,795","   39,094","   34,348","   35,391","   36,978","   34,942","   31,061","   22,533","   17,137","   18,761","   15,196","   11,657","   6,864","   3,025",   898,   198,   36,
 宜 蘭 縣 , 男 ,"   236,447","   1,914","   9,121","   2,097","   2,220","   2,336","   2,468","   14,735","   17,419","   17,497","   18,369","   20,035","   17,859","   18,690","   19,475","   17,927","   15,778","   11,303","   8,543","   9,186","   7,457","   6,009","   3,367","   1,311",   363,   68,   21,
, 女 ,"   223,979","   1,818","   8,428","   1,950","   2,075","   2,162","   2,241","   13,517","   16,066","   15,997","   17,426","   19,059","   16,489","   16,701","   17,503","   17,015","   15,283","   11,230","   8,594","   9,575","   7,739","   5,648","   3,497","   1,714",   535,   130,   15,
, 計 ,"   1,911,161","   18,381","   87,388","   19,975","   21,051","   22,108","   24,254","   142,133","   153,554","   143,596","   148,093","   167,137","   161,348","   165,975","   167,214","   147,025","   124,458","   83,960","   51,001","   44,973","   34,874","   36,882","   21,350","   8,314","   2,846",   556,   103,
 桃 園 縣 , 男 ,"   971,969","   9,701","   45,719","   10,414","   10,986","   11,621","   12,698","   74,216","   80,398","   74,899","   75,990","   83,645","   80,350","   82,762","   83,500","   73,312","   61,101","   40,293","   23,814","   20,581","   17,710","   24,154","   13,434","   4,630","   1,480",   242,   38,
, 女 ,"   939,192","   8,680","   41,669","   9,561","   10,065","   10,487","   11,556","   67,917","   73,156","   68,697","   72,103","   83,492","   80,998","   83,213","   83,714","   73,713","   63,357","   43,667","   27,187","   24,392","   17,164","   12,728","   7,916","   3,684","   1,366",   314,   65,
, 計 ,"   487,692","   5,672","   24,862","   5,861","   6,157","   6,174","   6,670","   35,507","   37,110","   34,314","   34,562","   40,212","   41,860","   41,452","   39,878","   34,309","   28,230","   20,396","   15,601","   17,562","   13,890","   11,367","   6,725","   2,923","   1,005",   225,   30,
 新 竹 縣 , 男 ,"   252,826","   2,942","   13,024","   3,085","   3,225","   3,191","   3,523","   18,601","   19,367","   17,892","   17,614","   19,968","   21,185","   21,760","   21,453","   18,551","   14,816","   10,427","   7,923","   8,869","   7,031","   6,140","   3,382","   1,352",   437,   79,   13,
, 女 ,"   234,866","   2,730","   11,838","   2,776","   2,932","   2,983","   3,147","   16,906","   17,743","   16,422","   16,948","   20,244","   20,675","   19,692","   18,425","   15,758","   13,414","   9,969","   7,678","   8,693","   6,859","   5,227","   3,343","   1,571",   568,   146,   17,
, 計 ,"   559,986","   5,023","   23,508","   5,313","   5,770","   5,932","   6,493","   34,515","   39,558","   40,696","   44,587","   47,657","   41,049","   41,508","   43,517","   41,965","   36,547","   27,743","   20,516","   22,689","   18,760","   15,483","   8,926","   4,030","   1,414",   259,   36,
 苗 栗 縣 , 男 ,"   292,885","   2,604","   12,610","   2,817","   3,135","   3,179","   3,479","   18,064","   20,615","   21,133","   22,937","   24,750","   21,960","   22,635","   23,693","   22,613","   19,333","   14,244","   10,525","   11,568","   9,299","   7,687","   4,155","   1,779",   574,   90,   17,
, 女 ,"   267,101","   2,419","   10,898","   2,496","   2,635","   2,753","   3,014","   16,451","   18,943","   19,563","   21,650","   22,907","   19,089","   18,873","   19,824","   19,352","   17,214","   13,499","   9,991","   11,121","   9,461","   7,796","   4,771","   2,251",   840,   169,   19,
, 計 ,"   1,543,436","   14,084","   65,880","   15,185","   16,086","   16,498","   18,111","   105,515","   119,196","   120,476","   132,422","   145,943","   123,025","   119,413","   125,835","   118,240","   104,742","   73,700","   46,700","   42,852","   33,662","   27,847","   15,482","   6,163","   1,894",   318,   47,
 臺 中 縣 , 男 ,"   786,778","   7,371","   34,287","   7,907","   8,374","   8,527","   9,479","   54,913","   61,860","   62,779","   67,908","   75,274","   62,676","   60,650","   63,073","   59,323","   52,431","   36,989","   22,989","   20,769","   16,378","   15,280","   8,202","   2,772",   730,   103,   21,
, 女 ,"   756,658","   6,713","   31,593","   7,278","   7,712","   7,971","   8,632","   50,602","   57,336","   57,697","   64,514","   70,669","   60,349","   58,763","   62,762","   58,917","   52,311","   36,711","   23,711","   22,083","   17,284","   12,567","   7,280","   3,391","   1,164",   215,   26,
, 計 ,"   1,315,034","   12,098","   56,444","   12,970","   13,963","   14,341","   15,170","   84,531","   92,415","   96,577","   112,157","   123,277","   101,477","   94,016","   100,628","   96,628","   85,871","   65,960","   44,662","   48,056","   41,275","   30,914","   17,454","   7,738","   2,302",   504,   50,
 彰 化 縣 , 男 ,"   678,645","   6,416","   29,698","   6,697","   7,402","   7,606","   7,993","   44,146","   48,401","   50,871","   57,663","   63,809","   53,171","   49,783","   53,248","   50,891","   44,750","   34,086","   22,519","   23,874","   19,547","   14,557","   7,422","   2,863",   761,   151,   18,
, 女 ,"   636,389","   5,682","   26,746","   6,273","   6,561","   6,735","   7,177","   40,385","   44,014","   45,706","   54,494","   59,468","   48,306","   44,233","   47,380","   45,737","   41,121","   31,874","   22,143","   24,182","   21,728","   16,357","   10,032","   4,875","   1,541",   353,   32,
, 計 ,"   535,205","   4,415","   21,107","   4,937","   5,139","   5,242","   5,789","   32,080","   36,891","   37,740","   42,311","   45,155","   37,956","   39,601","   43,145","   41,532","   36,795","   28,343","   20,145","   22,063","   18,280","   14,595","   8,194","   3,554","   1,056",   218,   29,
 南 投 縣 , 男 ,"   277,643","   2,308","   10,923","   2,560","   2,666","   2,717","   2,980","   16,691","   19,061","   19,715","   21,834","   23,380","   20,058","   21,195","   23,220","   22,164","   19,445","   14,642","   10,174","   10,917","   8,905","   7,224","   3,828","   1,463",   414,   71,   11,
, 女 ,"   257,562","   2,107","   10,184","   2,377","   2,473","   2,525","   2,809","   15,389","   17,830","   18,025","   20,477","   21,775","   17,898","   18,406","   19,925","   19,368","   17,350","   13,701","   9,971","   11,146","   9,375","   7,371","   4,366","   2,091",   642,   147,   18,
, 計 ,"   728,490","   6,361","   30,470","   7,183","   7,331","   7,872","   8,084","   43,632","   45,967","   45,801","   55,663","   64,386","   55,011","   52,606","   56,091","   51,662","   47,298","   39,673","   31,020","   34,115","   28,575","   21,641","   11,430","   5,250","   1,496",   312,   30,
 雲 林 縣 , 男 ,"   382,952","   3,356","   16,082","   3,797","   3,894","   4,209","   4,182","   23,002","   23,874","   23,955","   28,777","   33,227","   29,540","   30,157","   32,533","   29,156","   25,729","   21,190","   15,652","   16,667","   13,350","   9,597","   4,696","   1,831",   482,   87,   12,
, 女 ,"   345,538","   3,005","   14,388","   3,386","   3,437","   3,663","   3,902","   20,630","   22,093","   21,846","   26,886","   31,159","   25,471","   22,449","   23,558","   22,506","   21,569","   18,483","   15,368","   17,448","   15,225","   12,044","   6,734","   3,419","   1,014",   225,   18,
, 計 ,"   553,841","   4,859","   23,119","   5,482","   5,588","   5,915","   6,134","   31,544","   32,487","   35,490","   41,329","   46,672","   40,203","   40,919","   44,548","   42,206","   36,972","   29,864","   21,789","   25,776","   22,928","   17,776","   9,514","   4,317","   1,256",   254,   19,
 嘉 義 縣 , 男 ,"   290,855","   2,548","   12,048","   2,845","   2,945","   3,069","   3,189","   16,583","   16,866","   18,438","   21,307","   23,903","   21,582","   23,087","   25,734","   23,978","   20,327","   15,725","   10,837","   12,500","   10,750","   8,193","   4,167","   1,746",   449,   81,   6,
, 女 ,"   262,986","   2,311","   11,071","   2,637","   2,643","   2,846","   2,945","   14,961","   15,621","   17,052","   20,022","   22,769","   18,621","   17,832","   18,814","   18,228","   16,645","   14,139","   10,952","   13,276","   12,178","   9,583","   5,347","   2,571",   807,   173,   13,
, 計 ,"   1,106,690","   8,579","   39,786","   9,481","   9,566","   10,006","   10,733","   62,358","   70,791","   77,298","   85,617","   96,997","   82,647","   83,534","   93,496","   91,996","   78,523","   59,450","   38,575","   41,878","   37,851","   30,681","   16,660","   7,265","   2,216",   452,   40,
 臺 南 縣 , 男 ,"   568,677","   4,516","   20,837","   4,940","   5,031","   5,268","   5,598","   32,578","   36,640","   40,187","   44,035","   50,120","   42,440","   43,479","   49,250","   48,724","   41,201","   30,479","   19,151","   20,212","   17,901","   15,221","   7,780","   2,988",   787,   139,   12,
, 女 ,"   538,013","   4,063","   18,949","   4,541","   4,535","   4,738","   5,135","   29,780","   34,151","   37,111","   41,582","   46,877","   40,207","   40,055","   44,246","   43,272","   37,322","   28,971","   19,424","   21,666","   19,950","   15,460","   8,880","   4,277","   1,429",   313,   28,
, 計 ,"   1,245,474","   10,589","   47,363","   11,282","   11,473","   11,942","   12,666","   71,783","   81,451","   86,984","   96,252","   115,740","   105,186","   100,024","   103,457","   100,646","   92,246","   69,886","   43,641","   40,331","   31,069","   26,020","   14,799","   6,018","   1,658",   275,   56,
 高 雄 縣 , 男 ,"   642,636","   5,518","   24,651","   5,826","   6,043","   6,159","   6,623","   37,289","   42,475","   45,288","   49,606","   59,797","   55,381","   53,495","   54,535","   51,253","   45,980","   34,546","   21,589","   19,369","   15,385","   14,627","   8,000","   2,911",   776,   129,   36,
, 女 ,"   602,838","   5,071","   22,712","   5,456","   5,430","   5,783","   6,043","   34,494","   38,976","   41,696","   46,646","   55,943","   49,805","   46,529","   48,922","   49,393","   46,266","   35,340","   22,052","   20,962","   15,684","   11,393","   6,799","   3,107",   882,   146,   20,
, 計 ,"   893,544","   7,173","   33,632","   7,764","   8,090","   8,538","   9,240","   52,884","   61,162","   60,847","   67,917","   78,294","   67,444","   68,840","   72,677","   70,272","   63,604","   50,129","   33,638","   34,840","   28,461","   22,377","   12,316","   5,269","   1,467",   251,   50,
 屏 東 縣 , 男 ,"   462,982","   3,767","   17,483","   4,029","   4,302","   4,386","   4,766","   27,563","   31,880","   31,291","   34,897","   40,631","   35,638","   36,964","   39,000","   36,804","   32,711","   25,676","   16,832","   17,405","   13,756","   11,393","   6,076","   2,355",   716,   110,   34,
, 女 ,"   430,562","   3,406","   16,149","   3,735","   3,788","   4,152","   4,474","   25,321","   29,282","   29,556","   33,020","   37,663","   31,806","   31,876","   33,677","   33,468","   30,893","   24,453","   16,806","   17,435","   14,705","   10,984","   6,240","   2,914",   751,   141,   16,
, 計 ,"   235,957","   2,114","   9,630","   2,282","   2,326","   2,412","   2,610","   14,227","   15,723","   15,372","   17,894","   19,628","   18,229","   18,609","   19,282","   17,957","   16,132","   12,675","   9,017","   9,009","   7,429","   6,514","   4,169","   1,711",   511,   100,   25,
 臺 東 縣 , 男 ,"   124,864","   1,106","   5,036","   1,193","   1,209","   1,306","   1,328","   7,369","   8,187","   8,152","   9,267","   10,471","   9,941","   10,487","   10,979","   9,774","   8,317","   6,245","   4,410","   4,260","   3,554","   3,551","   2,405",   976,   308,   56,   13,
, 女 ,"   111,093","   1,008","   4,594","   1,089","   1,117","   1,106","   1,282","   6,858","   7,536","   7,220","   8,627","   9,157","   8,288","   8,122","   8,303","   8,183","   7,815","   6,430","   4,607","   4,749","   3,875","   2,963","   1,764",   735,   203,   44,   12,
, 計 ,"   345,303","   2,833","   13,215","   3,017","   3,235","   3,373","   3,590","   20,764","   24,325","   23,330","   26,164","   29,271","   26,506","   26,592","   27,281","   27,179","   24,799","   18,929","   13,124","   12,343","   10,173","   9,009","   5,840","   2,467",   903,   195,   61,
 花 蓮 縣 , 男 ,"   180,042","   1,503","   6,873","   1,536","   1,713","   1,750","   1,874","   10,771","   12,564","   11,996","   13,573","   15,479","   13,950","   14,343","   14,687","   14,086","   12,793","   9,461","   6,315","   5,910","   4,921","   5,198","   3,500","   1,448",   529,   97,   45,
, 女 ,"   165,261","   1,330","   6,342","   1,481","   1,522","   1,623","   1,716","   9,993","   11,761","   11,334","   12,591","   13,792","   12,556","   12,249","   12,594","   13,093","   12,006","   9,468","   6,809","   6,433","   5,252","   3,811","   2,340","   1,019",   374,   98,   16,
, 計 ,"   91,785",   808,"   3,612",   837,   880,   967,   928,"   5,122","   5,428","   5,747","   6,758","   7,917","   7,348","   7,044","   6,994","   6,888","   5,996","   4,770","   3,561","   3,627","   3,876","   3,208","   1,902",   868,   256,   51,   4,
 澎 湖 縣 , 男 ,"   47,498",   423,"   1,878",   415,   451,   537,   475,"   2,681","   2,809","   2,938","   3,533","   4,004","   3,831","   3,858","   3,885","   3,741","   3,147","   2,354","   1,761","   1,814","   1,853","   1,657",   873,   349,   95,   12,   2,
, 女 ,"   44,287",   385,"   1,734",   422,   429,   430,   453,"   2,441","   2,619","   2,809","   3,225","   3,913","   3,517","   3,186","   3,109","   3,147","   2,849","   2,416","   1,800","   1,813","   2,023","   1,551","   1,029",   519,   161,   39,   2,
, 計 ,"   390,633","   2,794","   13,109","   2,988","   3,180","   3,291","   3,650","   23,226","   28,069","   27,635","   28,308","   32,572","   30,956","   32,659","   34,295","   33,322","   29,907","   21,252","   12,247","   13,067","   10,062","   8,460","   5,458","   2,262",   762,   171,   40,
 基 隆 市 , 男 ,"   198,383","   1,422","   6,893","   1,564","   1,658","   1,760","   1,911","   12,072","   14,528","   14,432","   14,654","   16,611","   15,862","   16,643","   17,528","   16,965","   14,854","   10,398","   5,803","   5,948","   4,734","   4,491","   2,929","   1,139",   378,   79,   20,
, 女 ,"   192,250","   1,372","   6,216","   1,424","   1,522","   1,531","   1,739","   11,154","   13,541","   13,203","   13,654","   15,961","   15,094","   16,016","   16,767","   16,357","   15,053","   10,854","   6,444","   7,119","   5,328","   3,969","   2,529","   1,123",   384,   92,   20,
, 計 ,"   394,757","   4,574","   19,224","   4,500","   4,800","   4,707","   5,217","   28,719","   29,838","   27,383","   27,980","   33,013","   33,871","   35,132","   33,403","   29,689","   25,597","   18,450","   11,893","   10,863","   8,519","   7,925","   5,413","   2,324",   713,   162,   72,
 新 竹 市 , 男 ,"   198,193","   2,349","   10,094","   2,331","   2,526","   2,462","   2,775","   15,000","   15,354","   14,285","   14,369","   16,127","   16,356","   17,507","   16,913","   14,874","   12,639","   8,957","   5,546","   4,797","   3,931","   4,247","   3,100","   1,261",   367,   78,   42,
, 女 ,"   196,564","   2,225","   9,130","   2,169","   2,274","   2,245","   2,442","   13,719","   14,484","   13,098","   13,611","   16,886","   17,515","   17,625","   16,490","   14,815","   12,958","   9,493","   6,347","   6,066","   4,588","   3,678","   2,313","   1,063",   346,   84,   30,
, 計 ,"   1,044,392","   8,400","   42,114","   9,429","   10,066","   10,498","   12,121","   77,334","   85,446","   76,542","   75,989","   84,178","   86,111","   96,840","   96,690","   84,763","   71,574","   50,195","   28,995","   26,164","   19,376","   16,887","   10,636","   4,377","   1,396",   310,   75,
 臺 中 市 , 男 ,"   511,644","   4,446","   21,952","   4,959","   5,169","   5,535","   6,289","   40,392","   44,436","   39,608","   38,725","   41,201","   39,645","   44,203","   45,131","   40,553","   34,680","   24,142","   13,411","   11,803","   8,995","   9,327","   6,005","   2,203",   628,   121,   37,
, 女 ,"   532,748","   3,954","   20,162","   4,470","   4,897","   4,963","   5,832","   36,942","   41,010","   36,934","   37,264","   42,977","   46,466","   52,637","   51,559","   44,210","   36,894","   26,053","   15,584","   14,361","   10,381","   7,560","   4,631","   2,174",   768,   189,   38,
, 計 ,"   272,364","   2,025","   10,015","   2,048","   2,432","   2,601","   2,934","   19,557","   22,223","   19,217","   20,131","   22,662","   20,991","   21,970","   22,691","   20,711","   18,678","   14,262","   9,319","   9,187","   7,488","   5,864","   3,370","   1,477",   440,   71,   15,
 嘉 義 市 , 男 ,"   135,083","   1,028","   5,226","   1,055","   1,276","   1,340","   1,555","   10,242","   11,465","   9,936","   10,260","   11,430","   10,042","   10,466","   11,090","   10,201","   9,316","   6,823","   4,364","   4,204","   3,420","   2,945","   1,724",   708,   163,   21,   9,
, 女 ,"   137,281",   997,"   4,789",   993,"   1,156","   1,261","   1,379","   9,315","   10,758","   9,281","   9,871","   11,232","   10,949","   11,504","   11,601","   10,510","   9,362","   7,439","   4,955","   4,983","   4,068","   2,919","   1,646",   769,   277,   50,   6,
, 計 ,"   760,037","   5,907","   26,833","   6,140","   6,575","   6,772","   7,346","   47,141","   55,929","   54,521","   59,329","   67,130","   62,115","   62,995","   65,575","   63,291","   55,604","   41,201","   24,820","   22,708","   17,832","   13,918","   8,489","   3,481","   1,019",   167,   32,
 臺 南 市 , 男 ,"   378,791","   3,065","   14,017","   3,217","   3,339","   3,581","   3,880","   24,682","   28,973","   28,236","   30,328","   34,099","   30,408","   30,326","   31,570","   30,972","   27,477","   20,346","   12,031","   10,409","   8,207","   7,164","   4,392","   1,610",   414,   49,   16,
, 女 ,"   381,246","   2,842","   12,816","   2,923","   3,236","   3,191","   3,466","   22,459","   26,956","   26,285","   29,001","   33,031","   31,707","   32,669","   34,005","   32,319","   28,127","   20,855","   12,789","   12,299","   9,625","   6,754","   4,097","   1,871",   605,   118,   16,
, 計 ,"   2,632,242","   20,247","   95,205","   22,164","   23,092","   23,972","   25,977","   148,006","   170,903","   162,824","   176,248","   199,024","   200,641","   214,699","   226,669","   225,910","   218,006","   167,974","   99,453","   91,482","   72,386","   65,701","   45,848","   21,365","   7,500","   1,551",   600,
 臺 北 市 , 男 ,"   1,282,691","   10,515","   49,777","   11,660","   12,170","   12,441","   13,506","   77,093","   89,140","   84,988","   89,341","   97,478","   93,145","   97,855","   105,287","   106,311","   104,092","   80,122","   46,492","   40,776","   33,487","   35,298","   25,256","   11,339","   3,831",   751,   317,
, 女 ,"   1,349,551","   9,732","   45,428","   10,504","   10,922","   11,531","   12,471","   70,913","   81,763","   77,836","   86,907","   101,546","   107,496","   116,844","   121,382","   119,599","   113,914","   87,852","   52,961","   50,706","   38,899","   30,403","   20,592","   10,026","   3,669",   800,   283,
, 計 ,"   1,514,706","   11,036","   53,456","   12,212","   12,682","   13,630","   14,932","   91,808","   105,585","   101,788","   114,063","   134,545","   128,096","   127,777","   127,703","   123,356","   118,010","   89,579","   52,438","   47,249","   34,462","   28,136","   16,913","   6,493","   1,847",   298,   68,
 高 雄 市 , 男 ,"   755,904","   5,720","   27,876","   6,397","   6,620","   7,046","   7,813","   47,687","   54,897","   52,972","   58,505","   67,400","   62,914","   62,431","   62,182","   59,490","   57,117","   43,488","   25,405","   21,940","   16,518","   15,710","   9,331","   3,308",   852,   127,   34,
, 女 ,"   758,802","   5,316","   25,580","   5,815","   6,062","   6,584","   7,119","   44,121","   50,688","   48,816","   55,558","   67,145","   65,182","   65,346","   65,521","   63,866","   60,893","   46,091","   27,033","   25,309","   17,944","   12,426","   7,582","   3,185",   995,   171,   34,
, 計 ,"   86,277",   868,"   3,541",   895,   909,   867,   870,"   4,169","   4,366","   5,323","   6,813","   7,306","   7,067","   6,643","   7,251","   7,000","   6,780","   4,698","   3,714","   3,471","   2,919","   1,936","   1,306",   675,   311,   92,   28,
 福 建 省 , 男 ,"   46,289",   452,"   1,865",   461,   478,   461,   465,"   2,160","   2,236","   2,767","   3,508","   3,640","   3,820","   3,882","   4,299","   4,031","   3,684","   2,498","   2,048","   1,985","   1,637",   885,   493,   261,   97,   35,   6,
, 女 ,"   39,988",   416,"   1,676",   434,   431,   406,   405,"   2,009","   2,130","   2,556","   3,305","   3,666","   3,247","   2,761","   2,952","   2,969","   3,096","   2,200","   1,666","   1,486","   1,282","   1,051",   813,   414,   214,   57,   22,
, 計 ,"   76,491",   780,"   3,152",   792,   826,   762,   772,"   3,691","   3,896","   4,724","   6,121","   6,468","   6,202","   5,864","   6,351","   6,067","   5,951","   4,103","   3,354","   3,181","   2,677","   1,751","   1,161",   607,   280,   85,   25,
 金 門 縣 , 男 ,"   40,544",   403,"   1,641",   401,   427,   398,   415,"   1,913","   2,009","   2,438","   3,093","   3,169","   3,303","   3,361","   3,716","   3,460","   3,176","   2,144","   1,821","   1,799","   1,520",   793,   429,   232,   87,   31,   6,
, 女 ,"   35,947",   377,"   1,511",   391,   399,   364,   357,"   1,778","   1,887","   2,286","   3,028","   3,299","   2,899","   2,503","   2,635","   2,607","   2,775","   1,959","   1,533","   1,382","   1,157",   958,   732,   375,   193,   54,   19,
, 計 ,"   9,786",   88,   389,   103,   83,   105,   98,   478,   470,   599,   692,   838,   865,   779,   900,   933,   829,   595,   360,   290,   242,   185,   145,   68,   31,   7,   3,
 連 江 縣 , 男 ,"   5,745",   49,   224,   60,   51,   63,   50,   247,   227,   329,   415,   471,   517,   521,   583,   571,   508,   354,   227,   186,   117,   92,   64,   29,   10,   4,—,
, 女 ,"   4,041",   39,   165,   43,   32,   42,   48,   231,   243,   270,   277,   367,   348,   258,   317,   362,   321,   241,   133,   104,   125,   93,   81,   39,   21,   3,   3,
,,,,,,,,,,,,,,,,,,,,,,,,,,內政部戶政司  編製,,,
