 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             中 華 民 國  92 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1~4 ,,, 5~9 , 10~14 , 15~19 , 20~24 , 25~29 , 30~34 , 35~39 , 40~44 , 45~49 , 50~54 , 55~59 , 60~64 , 65~69 , 70~74 , 75~79 , 80~84 , 85~89 , 90~94 , 95~99 , 100+ 
, 計 ,"   740,501","   8,372","   37,939","   8,967","   9,203","   10,463","   9,306","   45,825","   45,094","   50,274","   65,065","   64,047","   55,030","   55,967","   55,571","   49,507","   44,722","   32,364","   35,779","   33,164","   27,687","   18,473","   9,813","   4,219","   1,347",   225,   17
 雲 林 縣 , 男 ,"   390,186","   4,491","   19,937","   4,638","   4,853","   5,523","   4,923","   24,051","   23,583","   25,963","   33,291","   33,365","   30,854","   32,790","   31,995","   27,477","   24,467","   16,788","   18,014","   16,062","   12,923","   8,266","   3,862","   1,501",   441,   58,   7
, 女 ,"   350,315","   3,881","   18,002","   4,329","   4,350","   4,940","   4,383","   21,774","   21,511","   24,311","   31,774","   30,682","   24,176","   23,177","   23,576","   22,030","   20,255","   15,576","   17,765","   17,102","   14,764","   10,207","   5,951","   2,718",   906,   167,   10
, 計 ,"   560,410","   6,297","   28,599","   6,900","   6,969","   8,059","   6,671","   33,672","   32,963","   37,176","   46,780","   45,842","   42,112","   44,040","   44,943","   38,792","   34,068","   22,842","   26,186","   25,885","   22,536","   15,003","   7,955","   3,415","   1,116",   175,   13
 嘉 義 縣 , 男 ,"   295,343","   3,259","   15,012","   3,602","   3,644","   4,312","   3,454","   17,494","   17,151","   19,231","   23,903","   23,790","   23,252","   25,654","   25,925","   21,871","   18,494","   11,727","   12,910","   12,541","   10,763","   7,095","   3,432","   1,361",   418,   55,   5
, 女 ,"   265,067","   3,038","   13,587","   3,298","   3,325","   3,747","   3,217","   16,178","   15,812","   17,945","   22,877","   22,052","   18,860","   18,386","   19,018","   16,921","   15,574","   11,115","   13,276","   13,344","   11,773","   7,908","   4,523","   2,054",   698,   120,   8
, 計 ,"   1,106,833","   10,057","   49,739","   11,216","   11,790","   14,077","   12,656","   69,181","   72,491","   79,916","   96,641","   91,243","   82,757","   90,440","   95,632","   84,685","   69,542","   42,687","   43,823","   42,689","   37,532","   26,022","   13,788","   5,639","   2,035",   259,   35
 臺 南 縣 , 男 ,"   570,820","   5,313","   25,828","   5,821","   6,054","   7,318","   6,635","   36,127","   37,471","   41,382","   49,611","   47,089","   42,932","   47,730","   51,016","   44,872","   36,450","   21,598","   21,566","   20,574","   18,749","   13,148","   6,237","   2,289",   723,   101,   14
, 女 ,"   536,013","   4,744","   23,911","   5,395","   5,736","   6,759","   6,021","   33,054","   35,020","   38,534","   47,030","   44,154","   39,825","   42,710","   44,616","   39,813","   33,092","   21,089","   22,257","   22,115","   18,783","   12,874","   7,551","   3,350","   1,312",   158,   21
, 計 ,"   1,237,469","   11,853","   57,848","   13,290","   13,497","   16,423","   14,638","   79,558","   81,573","   86,977","   111,022","   113,679","   102,683","   102,357","   103,406","   96,451","   83,179","   49,929","   46,180","   37,010","   31,947","   23,663","   12,111","   4,419","   1,378",   211,   35
 高 雄 縣 , 男 ,"   641,417","   6,146","   30,130","   6,926","   7,054","   8,575","   7,575","   41,454","   42,515","   44,913","   57,168","   59,368","   54,358","   55,051","   54,161","   48,654","   41,527","   24,795","   22,842","   17,986","   17,618","   13,636","   6,325","   2,027",   619,   103,   21
, 女 ,"   596,052","   5,707","   27,718","   6,364","   6,443","   7,848","   7,063","   38,104","   39,058","   42,064","   53,854","   54,311","   48,325","   47,306","   49,245","   47,797","   41,652","   25,134","   23,338","   19,024","   14,329","   10,027","   5,786","   2,392",   759,   108,   14
, 計 ,"   903,772","   8,706","   42,212","   9,784","   10,083","   11,785","   10,560","   59,811","   60,049","   63,338","   79,209","   76,540","   69,211","   72,631","   73,501","   67,089","   58,241","   37,615","   37,694","   33,649","   28,542","   19,547","   10,699","   4,077","   1,213",   173,   25
 屏 東 縣 , 男 ,"   470,148","   4,467","   21,947","   5,058","   5,182","   6,178","   5,529","   31,172","   30,960","   32,706","   40,616","   39,968","   36,884","   39,636","   39,340","   34,827","   30,238","   19,130","   19,049","   16,781","   14,506","   10,275","   5,089","   1,910",   547,   86,   14
, 女 ,"   433,624","   4,239","   20,265","   4,726","   4,901","   5,607","   5,031","   28,639","   29,089","   30,632","   38,593","   36,572","   32,327","   32,995","   34,161","   32,262","   28,003","   18,485","   18,645","   16,868","   14,036","   9,272","   5,610","   2,167",   666,   87,   11
, 計 ,"   242,842","   2,457","   12,072","   2,877","   2,902","   3,256","   3,037","   15,769","   15,713","   16,385","   21,039","   20,217","   19,604","   19,695","   19,282","   17,340","   14,832","   9,880","   10,009","   8,851","   7,841","   6,489","   3,439","   1,379",   457,   74,   18
 臺 東 縣 , 男 ,"   129,361","   1,314","   6,265","   1,469","   1,522","   1,684","   1,590","   8,199","   8,221","   8,585","   10,879","   10,870","   11,012","   11,398","   10,751","   9,292","   7,453","   4,896","   4,887","   4,233","   4,141","   3,856","   1,992",   808,   262,   36,   11
, 女 ,"   113,481","   1,143","   5,807","   1,408","   1,380","   1,572","   1,447","   7,570","   7,492","   7,800","   10,160","   9,347","   8,592","   8,297","   8,531","   8,048","   7,379","   4,984","   5,122","   4,618","   3,700","   2,633","   1,447",   571,   195,   38,   7
, 計 ,"   351,146","   3,323","   16,394","   3,717","   3,913","   4,468","   4,296","   23,693","   24,089","   24,273","   30,607","   29,509","   27,288","   27,332","   28,114","   26,599","   22,332","   14,409","   13,897","   11,847","   10,835","   8,971","   4,811","   1,946",   693,   147,   37
 花 蓮 縣 , 男 ,"   184,682","   1,762","   8,500","   1,954","   2,018","   2,317","   2,211","   12,186","   12,411","   12,528","   16,028","   15,540","   14,711","   15,044","   14,880","   13,976","   11,423","   7,094","   6,778","   5,694","   5,982","   5,616","   2,886","   1,159",   377,   79,   28
, 女 ,"   166,464","   1,561","   7,894","   1,763","   1,895","   2,151","   2,085","   11,507","   11,678","   11,745","   14,579","   13,969","   12,577","   12,288","   13,234","   12,623","   10,909","   7,315","   7,119","   6,153","   4,853","   3,355","   1,925",   787,   316,   68,   9
, 計 ,"   92,253",   995,"   4,368","   1,036","   1,089","   1,211","   1,032","   5,394","   5,515","   6,270","   7,691","   8,002","   7,214","   7,075","   6,953","   6,292","   5,548","   3,745","   3,741","   3,999","   4,013","   2,821","   1,687",   642,   245,   39,   4
 澎 湖 縣 , 男 ,"   47,940",   549,"   2,283",   532,   573,   640,   538,"   2,797","   2,838","   3,241","   3,901","   4,154","   3,943","   3,952","   3,812","   3,409","   2,795","   1,831","   1,866","   1,998","   2,051","   1,424",   749,   252,   80,   14,   1
, 女 ,"   44,313",   446,"   2,085",   504,   516,   571,   494,"   2,597","   2,677","   3,029","   3,790","   3,848","   3,271","   3,123","   3,141","   2,883","   2,753","   1,914","   1,875","   2,001","   1,962","   1,397",   938,   390,   165,   25,   3
, 計 ,"   392,242","   3,186","   17,111","   3,719","   3,883","   4,946","   4,563","   26,341","   28,430","   27,134","   32,167","   32,405","   32,724","   34,220","   34,924","   31,769","   26,193","   14,116","   14,363","   11,935","   10,155","   8,140","   4,386","   1,792",   606,   120,   25
 基 隆 市 , 男 ,"   200,233","   1,705","   8,948","   1,945","   2,063","   2,553","   2,387","   13,624","   14,849","   14,092","   16,583","   16,574","   16,739","   17,579","   17,965","   16,074","   12,924","   6,879","   6,785","   5,508","   5,327","   4,459","   2,386",   905,   270,   46,   12
, 女 ,"   192,009","   1,481","   8,163","   1,774","   1,820","   2,393","   2,176","   12,717","   13,581","   13,042","   15,584","   15,831","   15,985","   16,641","   16,959","   15,695","   13,269","   7,237","   7,578","   6,427","   4,828","   3,681","   2,000",   887,   336,   74,   13
, 計 ,"   382,897","   4,379","   21,566","   5,023","   5,132","   5,910","   5,501","   29,568","   29,154","   26,929","   31,231","   30,790","   33,726","   34,005","   32,377","   27,901","   22,468","   13,267","   12,266","   9,805","   8,909","   7,715","   4,391","   1,723",   552,   125,   50
 新 竹 市 , 男 ,"   194,178","   2,287","   11,379","   2,685","   2,705","   3,094","   2,895","   15,376","   15,220","   13,927","   16,056","   15,342","   16,507","   17,215","   16,351","   13,920","   11,138","   6,444","   5,633","   4,464","   4,648","   4,485","   2,535",   885,   279,   61,   26
, 女 ,"   188,719","   2,092","   10,187","   2,338","   2,427","   2,816","   2,606","   14,192","   13,934","   13,002","   15,175","   15,448","   17,219","   16,790","   16,026","   13,981","   11,330","   6,823","   6,633","   5,341","   4,261","   3,230","   1,856",   838,   273,   64,   24
, 計 ,"   1,009,387","   9,315","   53,177","   11,262","   12,250","   15,057","   14,608","   82,215","   81,536","   74,495","   81,413","   78,258","   88,773","   96,662","   91,879","   77,334","   61,290","   33,831","   29,149","   22,332","   19,398","   15,449","   8,273","   3,218","   1,133",   205,   52
 臺 中 市 , 男 ,"   496,950","   4,912","   27,630","   5,825","   6,380","   7,784","   7,641","   42,977","   42,412","   38,387","   41,279","   37,701","   40,269","   44,717","   43,716","   37,426","   29,879","   16,173","   13,458","   10,240","   10,215","   9,000","   4,444","   1,537",   476,   80,   22
, 女 ,"   512,437","   4,403","   25,547","   5,437","   5,870","   7,273","   6,967","   39,238","   39,124","   36,108","   40,134","   40,557","   48,504","   51,945","   48,163","   39,908","   31,411","   17,658","   15,691","   12,092","   9,183","   6,449","   3,829","   1,681",   657,   125,   30
, 計 ,"   269,594","   2,231","   12,601","   2,610","   2,825","   3,595","   3,571","   20,855","   21,008","   19,681","   22,749","   22,064","   20,929","   22,306","   22,138","   19,942","   16,874","   10,652","   10,065","   8,760","   7,295","   5,206","   2,776","   1,072",   328,   51,   11
 嘉 義 市 , 男 ,"   134,909","   1,165","   6,710","   1,380","   1,480","   1,921","   1,929","   10,790","   10,921","   10,089","   11,649","   11,140","   10,170","   10,924","   10,939","   9,917","   8,261","   5,126","   4,728","   4,033","   3,570","   2,725","   1,430",   473,   124,   18,   7
, 女 ,"   134,685","   1,066","   5,891","   1,230","   1,345","   1,674","   1,642","   10,065","   10,087","   9,592","   11,100","   10,924","   10,759","   11,382","   11,199","   10,025","   8,613","   5,526","   5,337","   4,727","   3,725","   2,481","   1,346",   599,   204,   33,   4
, 計 ,"   749,628","   6,172","   32,249","   6,870","   7,519","   9,167","   8,693","   50,989","   56,652","   56,781","   66,188","   63,632","   60,307","   64,002","   66,164","   60,242","   49,761","   28,829","   25,885","   20,871","   17,388","   12,793","   6,937","   2,790",   848,   131,   17
 臺 南 市 , 男 ,"   375,597","   3,254","   16,811","   3,645","   3,908","   4,740","   4,518","   26,474","   29,411","   29,201","   33,960","   32,086","   29,376","   30,846","   32,146","   30,078","   24,913","   14,217","   12,327","   9,597","   8,794","   6,876","   3,555","   1,283",   328,   53,   11
, 女 ,"   374,031","   2,918","   15,438","   3,225","   3,611","   4,427","   4,175","   24,515","   27,241","   27,580","   32,228","   31,546","   30,931","   33,156","   34,018","   30,164","   24,848","   14,612","   13,558","   11,274","   8,594","   5,917","   3,382","   1,507",   520,   78,   6
, 計 ,"   2,627,138","   22,744","   119,662","   26,573","   27,670","   33,968","   31,451","   164,221","   171,223","   172,004","   199,913","   195,871","   205,637","   220,287","   232,125","   228,229","   200,827","   116,552","   99,970","   80,433","   73,860","   62,576","   37,564","   16,038","   5,696","   1,225",   481
 臺 北 市 , 男 ,"   1,291,742","   11,810","   62,268","   13,864","   14,283","   17,673","   16,448","   85,808","   90,293","   88,304","   100,978","   95,010","   95,248","   101,768","   109,082","   108,977","   96,595","   56,084","   46,227","   36,393","   38,783","   35,114","   20,990","   8,330","   2,875",   567,   238
, 女 ,"   1,335,396","   10,934","   57,394","   12,709","   13,387","   16,295","   15,003","   78,413","   80,930","   83,700","   98,935","   100,861","   110,389","   118,519","   123,043","   119,252","   104,232","   60,468","   53,743","   44,040","   35,077","   27,462","   16,574","   7,708","   2,821",   658,   243
, 計 ,"   1,509,350","   12,549","   66,029","   14,215","   15,116","   19,114","   17,584","   100,097","   105,930","   108,115","   132,225","   132,826","   126,983","   128,202","   128,887","   124,179","   108,115","   62,428","   53,080","   41,082","   33,675","   25,834","   12,904","   4,535","   1,410",   212,   53
 高 雄 市 , 男 ,"   758,717","   6,514","   34,426","   7,425","   7,844","   10,034","   9,123","   51,975","   55,095","   56,131","   67,464","   66,587","   62,892","   62,894","   62,631","   60,499","   52,834","   30,772","   25,605","   19,359","   18,196","   15,004","   6,946","   2,185",   603,   83,   22
, 女 ,"   750,633","   6,035","   31,603","   6,790","   7,272","   9,080","   8,461","   48,122","   50,835","   51,984","   64,761","   66,239","   64,091","   65,308","   66,256","   63,680","   55,281","   31,656","   27,475","   21,723","   15,479","   10,830","   5,958","   2,350",   807,   129,   31
, 計 ,"   69,789",   780,"   3,511",   833,   861,   979,   838,"   4,012","   4,176","   5,494","   6,112","   6,087","   5,364","   5,056","   4,860","   5,381","   3,988","   2,843","   2,918","   3,179","   2,426","   1,631","   1,040",   537,   284,   93,   17
 福 建 省 , 男 ,"   37,079",   415,"   1,853",   454,   449,   512,   438,"   2,076","   2,155","   2,817","   3,186","   3,190","   3,077","   2,961","   2,818","   2,877","   2,023","   1,503","   1,627","   1,863","   1,234",   667,   430,   185,   90,   25,   7
, 女 ,"   32,710",   365,"   1,658",   379,   412,   467,   400,"   1,936","   2,021","   2,677","   2,926","   2,897","   2,287","   2,095","   2,042","   2,504","   1,965","   1,340","   1,291","   1,316","   1,192",   964,   610,   352,   194,   68,   10
, 計 ,"   60,983",   682,"   3,088",   728,   766,   869,   725,"   3,556","   3,661","   4,899","   5,383","   5,292","   4,597","   4,350","   4,079","   4,574","   3,420","   2,440","   2,635","   2,910","   2,198","   1,466",   925,   462,   262,   87,   17
 金 門 縣 , 男 ,"   32,062",   359,"   1,631",   398,   402,   447,   384,"   1,855","   1,880","   2,501","   2,771","   2,740","   2,614","   2,522","   2,324","   2,396","   1,667","   1,266","   1,452","   1,720","   1,131",   584,   374,   161,   83,   24,   7
, 女 ,"   28,921",   323,"   1,457",   330,   364,   422,   341,"   1,701","   1,781","   2,398","   2,612","   2,552","   1,983","   1,828","   1,755","   2,178","   1,753","   1,174","   1,183","   1,190","   1,067",   882,   551,   301,   179,   63,   10
, 計 ,"   8,806",   98,   423,   105,   95,   110,   113,   456,   515,   595,   729,   795,   767,   706,   781,   807,   568,   403,   283,   269,   228,   165,   115,   75,   22,   6,—
 連 江 縣 , 男 ,"   5,017",   56,   222,   56,   47,   65,   54,   221,   275,   316,   415,   450,   463,   439,   494,   481,   356,   237,   175,   143,   103,   83,   56,   24,   7,   1,—
, 女 ,"   3,789",   42,   201,   49,   48,   45,   59,   235,   240,   279,   314,   345,   304,   267,   287,   326,   212,   166,   108,   126,   125,   82,   59,   51,   15,   5,—
