 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         中 華 民 國  93 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
 臺 北 縣 , 男 ,"   1,864,229","   16,626","   82,561","   18,160","   19,295","   20,438","   24,668","   127,622","   140,553","   139,512","   171,053","   172,294","   155,472","   156,422","   161,490","   151,136","   128,192","   74,145","   56,209","   39,633","   34,967","   30,824","   16,584","   6,297","   2,055",   412,   170,
, 女 ,"   1,843,870","   14,980","   75,467","   16,360","   17,473","   18,712","   22,922","   118,859","   128,394","   131,320","   161,620","   166,967","   153,818","   163,412","   172,301","   161,827","   135,458","   76,661","   59,319","   44,836","   32,072","   23,411","   13,898","   6,174","   2,422",   514,   140,
, 計 ,"   462,286","   4,196","   20,584","   4,613","   4,863","   5,126","   5,982","   30,729","   33,761","   32,953","   39,466","   38,676","   34,743","   36,370","   37,426","   33,806","   28,709","   18,049","   19,453","   18,104","   14,843","   10,789","   6,104","   2,477",   860,   158,   30,
 宜 蘭 縣 , 男 ,"   238,153","   2,179","   10,734","   2,407","   2,532","   2,659","   3,136","   16,132","   17,544","   17,114","   20,183","   19,948","   18,130","   19,381","   19,631","   17,410","   14,523","   9,038","   9,638","   8,987","   7,488","   5,743","   2,894","   1,030",   362,   48,   16,
, 女 ,"   224,133","   2,017","   9,850","   2,206","   2,331","   2,467","   2,846","   14,597","   16,217","   15,839","   19,283","   18,728","   16,613","   16,989","   17,795","   16,396","   14,186","   9,011","   9,815","   9,117","   7,355","   5,046","   3,210","   1,447",   498,   110,   14,
, 計 ,"   1,853,029","   19,267","   97,997","   21,175","   23,223","   24,322","   29,277","   146,191","   149,942","   135,972","   157,997","   158,784","   156,794","   164,381","   159,891","   138,840","   110,212","   63,907","   51,687","   40,673","   37,909","   35,467","   17,335","   6,940","   2,328",   437,   78,
 桃 園 縣 , 男 ,"   945,959","   10,007","   51,406","   11,183","   12,121","   12,718","   15,384","   76,083","   78,634","   70,675","   80,534","   79,865","   78,083","   81,997","   80,160","   69,341","   53,677","   30,706","   24,207","   18,748","   22,324","   23,802","   10,597","   3,705","   1,217",   161,   30,
, 女 ,"   907,070","   9,260","   46,591","   9,992","   11,102","   11,604","   13,893","   70,108","   71,308","   65,297","   77,463","   78,919","   78,711","   82,384","   79,731","   69,499","   56,535","   33,201","   27,480","   21,925","   15,585","   11,665","   6,738","   3,235","   1,111",   276,   48,
, 計 ,"   467,246","   5,739","   26,879","   6,069","   6,577","   6,706","   7,527","   35,916","   36,206","   31,878","   36,719","   38,094","   39,252","   39,792","   38,023","   31,268","   25,173","   16,054","   16,800","   16,237","   13,364","   10,546","   5,686","   2,514",   887,   191,   28,
 新 竹 縣 , 男 ,"   243,345","   3,031","   14,078","   3,140","   3,481","   3,579","   3,878","   18,799","   18,979","   16,483","   18,719","   19,091","   20,236","   21,179","   20,704","   16,865","   13,140","   8,245","   8,525","   8,176","   6,986","   5,702","   2,772","   1,172",   383,   65,   15,
, 女 ,"   223,901","   2,708","   12,801","   2,929","   3,096","   3,127","   3,649","   17,117","   17,227","   15,395","   18,000","   19,003","   19,016","   18,613","   17,319","   14,403","   12,033","   7,809","   8,275","   8,061","   6,378","   4,844","   2,914","   1,342",   504,   126,   13,
, 計 ,"   560,643","   5,703","   26,885","   6,048","   6,701","   6,693","   7,443","   36,637","   40,290","   40,345","   48,729","   46,114","   41,337","   42,155","   44,329","   40,005","   34,066","   22,687","   23,026","   21,909","   19,009","   14,475","   7,915","   3,558","   1,208",   228,   33,
 苗 栗 縣 , 男 ,"   293,975","   3,098","   14,219","   3,255","   3,591","   3,510","   3,863","   19,063","   21,093","   20,799","   25,135","   24,128","   22,522","   23,087","   24,184","   21,590","   17,757","   11,681","   11,794","   11,224","   9,516","   7,226","   3,687","   1,591",   491,   80,   10,
, 女 ,"   266,668","   2,605","   12,666","   2,793","   3,110","   3,183","   3,580","   17,574","   19,197","   19,546","   23,594","   21,986","   18,815","   19,068","   20,145","   18,415","   16,309","   11,006","   11,232","   10,685","   9,493","   7,249","   4,228","   1,967",   717,   148,   23,
, 計 ,"   1,527,040","   15,145","   75,108","   16,339","   17,879","   18,904","   21,986","   111,994","   119,267","   119,508","   143,568","   139,659","   117,582","   122,259","   125,865","   114,417","   96,305","   57,622","   48,148","   40,344","   33,765","   26,223","   13,106","   5,206","   1,648",   269,   32,
 臺 中 縣 , 男 ,"   780,688","   7,914","   38,955","   8,436","   9,381","   9,734","   11,404","   58,232","   62,084","   61,899","   73,981","   72,028","   59,841","   62,151","   63,297","   57,632","   48,323","   29,011","   23,848","   19,482","   17,591","   14,754","   6,718","   2,228",   612,   91,   16,
, 女 ,"   746,352","   7,231","   36,153","   7,903","   8,498","   9,170","   10,582","   53,762","   57,183","   57,609","   69,587","   67,631","   57,741","   60,108","   62,568","   56,785","   47,982","   28,611","   24,300","   20,862","   16,174","   11,469","   6,388","   2,978","   1,036",   178,   16,
, 計 ,"   1,316,762","   13,544","   64,578","   14,734","   15,573","   15,959","   18,312","   88,855","   94,018","   99,092","   122,861","   120,578","   97,003","   97,070","   101,978","   94,039","   80,902","   52,333","   49,638","   47,339","   40,285","   28,222","   15,407","   6,433","   2,151",   401,   35,
 彰 化 縣 , 男 ,"   680,785","   7,181","   33,971","   7,794","   8,180","   8,290","   9,707","   46,308","   49,401","   51,863","   62,963","   62,641","   51,247","   51,655","   54,054","   49,682","   42,113","   26,879","   25,333","   23,227","   19,324","   13,272","   6,446","   2,345",   742,   123,   15,
, 女 ,"   635,977","   6,363","   30,607","   6,940","   7,393","   7,669","   8,605","   42,547","   44,617","   47,229","   59,898","   57,937","   45,756","   45,415","   47,924","   44,357","   38,789","   25,454","   24,305","   24,112","   20,961","   14,950","   8,961","   4,088","   1,409",   278,   20,
, 計 ,"   538,413","   5,107","   24,819","   5,470","   6,156","   6,304","   6,889","   34,179","   37,464","   38,150","   46,257","   44,171","   38,460","   41,299","   43,922","   40,098","   34,710","   23,115","   22,241","   21,533","   18,202","   13,407","   7,166","   2,958",   959,   172,   24,
 南 投 縣 , 男 ,"   280,187","   2,643","   12,860","   2,859","   3,174","   3,266","   3,561","   17,664","   19,521","   19,747","   23,861","   23,186","   20,356","   22,441","   23,672","   21,361","   18,457","   11,831","   11,205","   10,672","   9,030","   6,730","   3,253","   1,241",   376,   70,   10,
, 女 ,"   258,226","   2,464","   11,959","   2,611","   2,982","   3,038","   3,328","   16,515","   17,943","   18,403","   22,396","   20,985","   18,104","   18,858","   20,250","   18,737","   16,253","   11,284","   11,036","   10,861","   9,172","   6,677","   3,913","   1,717",   583,   102,   14,
, 計 ,"   736,772","   7,356","   36,138","   8,429","   8,736","   8,904","   10,069","   45,176","   45,525","   47,717","   62,131","   65,538","   54,029","   55,253","   55,401","   50,693","   45,718","   33,930","   34,487","   33,565","   28,185","   19,396","   10,413","   4,459","   1,399",   243,   20,
 雲 林 縣 , 男 ,"   388,179","   3,922","   19,041","   4,487","   4,512","   4,688","   5,354","   23,797","   23,790","   24,735","   31,903","   34,037","   29,785","   32,227","   32,120","   28,308","   24,961","   17,821","   17,362","   16,302","   13,106","   8,737","   4,112","   1,586",   458,   62,   7,
, 女 ,"   348,593","   3,434","   17,097","   3,942","   4,224","   4,216","   4,715","   21,379","   21,735","   22,982","   30,228","   31,501","   24,244","   23,026","   23,281","   22,385","   20,757","   16,109","   17,125","   17,263","   15,079","   10,659","   6,301","   2,873",   941,   181,   13,
, 計 ,"   557,903","   5,696","   27,415","   6,334","   6,734","   6,693","   7,654","   32,744","   32,964","   35,537","   45,561","   46,662","   40,819","   42,978","   44,874","   40,017","   35,245","   24,086","   25,335","   25,636","   23,048","   15,935","   8,482","   3,472","   1,189",   190,   18,
 嘉 義 縣 , 男 ,"   293,894","   2,999","   14,432","   3,288","   3,515","   3,515","   4,114","   17,041","   17,147","   18,323","   23,392","   24,105","   22,354","   24,775","   26,064","   22,584","   19,300","   12,431","   12,536","   12,410","   10,871","   7,531","   3,712","   1,362",   456,   62,   7,
, 女 ,"   264,009","   2,697","   12,983","   3,046","   3,219","   3,178","   3,540","   15,703","   15,817","   17,214","   22,169","   22,557","   18,465","   18,203","   18,810","   17,433","   15,945","   11,655","   12,799","   13,226","   12,177","   8,404","   4,770","   2,110",   733,   128,   11,
, 計 ,"   1,105,674","   9,414","   46,683","   10,249","   11,033","   11,583","   13,818","   66,880","   72,292","   77,167","   93,874","   94,573","   80,692","   88,142","   95,493","   87,557","   73,062","   45,789","   43,336","   41,775","   38,187","   27,579","   14,828","   5,847","   2,139",   327,   38,
 臺 南 縣 , 男 ,"   569,680","   4,912","   24,302","   5,390","   5,724","   5,976","   7,212","   34,923","   37,433","   39,948","   48,209","   48,936","   41,867","   46,189","   50,671","   46,448","   38,377","   23,323","   21,400","   20,171","   18,605","   13,945","   6,711","   2,413",   773,   108,   16,
, 女 ,"   535,994","   4,502","   22,381","   4,859","   5,309","   5,607","   6,606","   31,957","   34,859","   37,219","   45,665","   45,637","   38,825","   41,953","   44,822","   41,109","   34,685","   22,466","   21,936","   21,604","   19,582","   13,634","   8,117","   3,434","   1,366",   219,   22,
, 計 ,"   1,238,925","   11,148","   54,891","   12,228","   13,169","   13,360","   16,134","   76,939","   81,994","   84,531","   106,934","   116,054","   102,392","   101,154","   103,879","   97,932","   87,221","   54,019","   46,370","   38,007","   31,679","   24,370","   12,905","   4,776","   1,460",   231,   39,
 高 雄 縣 , 男 ,"   641,236","   5,877","   28,562","   6,328","   6,858","   6,950","   8,426","   39,983","   42,961","   43,606","   54,958","   60,516","   54,017","   54,278","   54,626","   49,549","   43,506","   26,799","   22,970","   18,331","   16,811","   14,064","   6,766","   2,262",   661,   107,   26,
, 女 ,"   597,689","   5,271","   26,329","   5,900","   6,311","   6,410","   7,708","   36,956","   39,033","   40,925","   51,976","   55,538","   48,375","   46,876","   49,253","   48,383","   43,715","   27,220","   23,400","   19,676","   14,868","   10,306","   6,139","   2,514",   799,   124,   13,
, 計 ,"   900,199","   7,903","   39,918","   8,881","   9,637","   9,890","   11,510","   57,445","   60,791","   61,036","   75,998","   78,363","   67,521","   71,190","   73,520","   68,415","   60,799","   39,790","   37,310","   34,073","   28,403","   20,707","   11,138","   4,321","   1,326",   201,   31,
 屏 東 縣 , 男 ,"   467,815","   4,204","   20,671","   4,560","   4,974","   5,090","   6,047","   30,020","   31,524","   31,356","   38,933","   41,011","   35,867","   38,591","   39,410","   35,605","   31,521","   20,197","   18,824","   17,014","   14,177","   10,820","   5,357","   1,970",   624,   100,   19,
, 女 ,"   432,384","   3,699","   19,247","   4,321","   4,663","   4,800","   5,463","   27,425","   29,267","   29,680","   37,065","   37,352","   31,654","   32,599","   34,110","   32,810","   29,278","   19,593","   18,486","   17,059","   14,226","   9,887","   5,781","   2,351",   702,   101,   12,
, 計 ,"   240,373","   2,256","   11,313","   2,537","   2,809","   2,819","   3,148","   15,307","   15,808","   15,682","   20,138","   20,237","   18,937","   19,243","   19,327","   17,781","   15,090","   10,558","   9,838","   8,858","   7,639","   6,704","   3,679","   1,415",   474,   70,   19,
 臺 東 縣 , 男 ,"   127,820","   1,165","   5,881","   1,346","   1,423","   1,478","   1,634","   7,919","   8,293","   8,274","   10,441","   10,815","   10,518","   11,120","   10,918","   9,565","   7,641","   5,176","   4,858","   4,228","   3,830","   3,908","   2,135",   824,   269,   32,   10,
, 女 ,"   112,553","   1,091","   5,432","   1,191","   1,386","   1,341","   1,514","   7,388","   7,515","   7,408","   9,697","   9,422","   8,419","   8,123","   8,409","   8,216","   7,449","   5,382","   4,980","   4,630","   3,809","   2,796","   1,544",   591,   205,   38,   9,
, 計 ,"   349,149","   3,140","   15,306","   3,435","   3,657","   3,841","   4,373","   22,844","   24,423","   23,276","   29,568","   29,550","   26,812","   27,018","   27,831","   27,017","   23,263","   15,380","   13,890","   12,005","   10,523","   9,187","   5,073","   2,075",   775,   149,   44,
 花 蓮 縣 , 男 ,"   183,149","   1,656","   7,953","   1,795","   1,913","   1,977","   2,268","   11,773","   12,601","   12,004","   15,478","   15,508","   14,308","   14,864","   14,855","   14,029","   12,042","   7,578","   6,750","   5,719","   5,587","   5,642","   3,022","   1,233",   436,   81,   30,
, 女 ,"   166,000","   1,484","   7,353","   1,640","   1,744","   1,864","   2,105","   11,071","   11,822","   11,272","   14,090","   14,042","   12,504","   12,154","   12,976","   12,988","   11,221","   7,802","   7,140","   6,286","   4,936","   3,545","   2,051",   842,   339,   68,   14,
, 計 ,"   91,808",   892,"   4,260","   1,011","   1,008","   1,061","   1,180","   5,206","   5,521","   5,854","   7,512","   7,937","   7,215","   7,042","   6,985","   6,504","   5,736","   3,976","   3,600","   3,903","   3,963","   2,989","   1,735",   678,   245,   47,   8,
 澎 湖 縣 , 男 ,"   47,622",   459,"   2,249",   559,   514,   553,   623,"   2,714","   2,876","   2,978","   3,870","   4,075","   3,880","   3,913","   3,842","   3,560","   2,899","   1,933","   1,792","   1,948","   1,975","   1,497",   786,   272,   85,   17,   2,
, 女 ,"   44,186",   433,"   2,011",   452,   494,   508,   557,"   2,492","   2,645","   2,876","   3,642","   3,862","   3,335","   3,129","   3,143","   2,944","   2,837","   2,043","   1,808","   1,955","   1,988","   1,492",   949,   406,   160,   30,   6,
, 計 ,"   392,337","   3,050","   15,827","   3,305","   3,697","   3,878","   4,947","   25,414","   28,671","   26,646","   31,282","   32,748","   31,789","   33,843","   34,972","   32,640","   27,590","   15,710","   14,050","   12,260","   10,111","   8,337","   4,738","   1,852",   628,   139,   40,
 基 隆 市 , 男 ,"   199,972","   1,591","   8,330","   1,775","   1,930","   2,071","   2,554","   13,231","   14,861","   13,806","   16,218","   16,703","   16,282","   17,285","   17,960","   16,557","   13,676","   7,692","   6,694","   5,561","   5,102","   4,526","   2,611",   918,   290,   61,   17,
, 女 ,"   192,365","   1,459","   7,497","   1,530","   1,767","   1,807","   2,393","   12,183","   13,810","   12,840","   15,064","   16,045","   15,507","   16,558","   17,012","   16,083","   13,914","   8,018","   7,356","   6,699","   5,009","   3,811","   2,127",   934,   338,   78,   23,
, 計 ,"   386,950","   4,560","   20,914","   4,604","   5,080","   5,207","   6,023","   29,342","   29,459","   26,454","   30,605","   31,789","   33,321","   34,485","   32,770","   28,461","   23,898","   14,440","   12,356","   10,080","   8,690","   7,954","   4,777","   1,806",   597,   130,   62,
 新 竹 市 , 男 ,"   195,542","   2,408","   10,983","   2,413","   2,706","   2,727","   3,137","   15,275","   15,310","   13,730","   15,713","   15,692","   16,334","   17,295","   16,542","   14,175","   11,865","   7,043","   5,682","   4,544","   4,317","   4,532","   2,773",   925,   304,   64,   36,
, 女 ,"   191,408","   2,152","   9,931","   2,191","   2,374","   2,480","   2,886","   14,067","   14,149","   12,724","   14,892","   16,097","   16,987","   17,190","   16,228","   14,286","   12,033","   7,397","   6,674","   5,536","   4,373","   3,422","   2,004",   881,   293,   66,   26,
, 計 ,"   1,021,292","   8,928","   49,176","   9,926","   11,475","   12,395","   15,380","   81,442","   83,714","   73,340","   80,577","   80,996","   86,445","   96,904","   93,833","   80,122","   65,549","   37,643","   29,565","   23,548","   19,252","   16,301","   8,965","   3,520","   1,178",   240,   54,
 臺 中 市 , 男 ,"   502,013","   4,599","   25,566","   5,212","   5,943","   6,475","   7,936","   42,557","   43,473","   37,847","   40,865","   39,396","   39,303","   44,787","   44,387","   38,587","   31,824","   18,176","   13,611","   10,668","   9,754","   9,375","   4,893","   1,701",   518,   101,   25,
, 女 ,"   519,279","   4,329","   23,610","   4,714","   5,532","   5,920","   7,444","   38,885","   40,241","   35,493","   39,712","   41,600","   47,142","   52,117","   49,446","   41,535","   33,725","   19,467","   15,954","   12,880","   9,498","   6,926","   4,072","   1,819",   660,   139,   29,
, 計 ,"   270,341","   2,204","   11,798","   2,407","   2,675","   2,926","   3,790","   20,503","   21,515","   18,930","   22,159","   22,593","   20,422","   22,404","   22,346","   20,230","   17,518","   11,440","   10,055","   8,902","   7,342","   5,420","   3,008","   1,144",   345,   50,   13,
 嘉 義 市 , 男 ,"   135,027","   1,162","   6,225","   1,256","   1,423","   1,530","   2,016","   10,656","   11,191","   9,700","   11,334","   11,476","   9,909","   10,822","   11,028","   9,996","   8,630","   5,508","   4,746","   4,068","   3,537","   2,826","   1,529",   511,   145,   20,   8,
, 女 ,"   135,314","   1,042","   5,573","   1,151","   1,252","   1,396","   1,774","   9,847","   10,324","   9,230","   10,825","   11,117","   10,513","   11,582","   11,318","   10,234","   8,888","   5,932","   5,309","   4,834","   3,805","   2,594","   1,479",   633,   200,   30,   5,
, 計 ,"   754,917","   6,072","   30,947","   6,600","   7,087","   7,730","   9,530","   49,859","   56,738","   54,664","   64,945","   65,935","   59,885","   63,912","   66,389","   61,581","   52,374","   31,669","   26,054","   21,471","   17,509","   13,320","   7,511","   3,004",   908,   146,   24,
 臺 南 市 , 男 ,"   377,623","   3,113","   16,200","   3,484","   3,768","   4,012","   4,936","   26,057","   29,269","   28,259","   33,207","   33,360","   29,206","   30,823","   32,135","   30,660","   26,092","   15,600","   12,466","   9,856","   8,464","   7,172","   3,852","   1,401",   364,   54,   13,
, 女 ,"   377,294","   2,959","   14,747","   3,116","   3,319","   3,718","   4,594","   23,802","   27,469","   26,405","   31,738","   32,575","   30,679","   33,089","   34,254","   30,921","   26,282","   16,069","   13,588","   11,615","   9,045","   6,148","   3,659","   1,603",   544,   92,   11,
, 計 ,"   2,622,472","   21,453","   111,557","   24,295","   26,633","   27,391","   33,238","   159,458","   171,870","   164,807","   194,071","   198,375","   200,688","   217,376","   229,283","   228,936","   207,849","   129,408","   100,867","   83,709","   72,761","   64,484","   40,062","   17,274","   6,315","   1,349",   520,
 臺 北 市 , 男 ,"   1,286,303","   11,332","   57,929","   12,599","   13,922","   14,120","   17,288","   83,351","   90,469","   84,874","   98,546","   96,569","   93,002","   99,835","   107,689","   108,474","   99,770","   62,118","   46,779","   37,368","   36,841","   35,858","   22,205","   9,221","   3,151",   664,   258,
, 女 ,"   1,336,169","   10,121","   53,628","   11,696","   12,711","   13,271","   15,950","   76,107","   81,401","   79,933","   95,525","   101,806","   107,686","   117,541","   121,594","   120,462","   108,079","   67,290","   54,088","   46,341","   35,920","   28,626","   17,857","   8,053","   3,164",   685,   262,
, 計 ,"   1,512,677","   11,771","   62,431","   13,305","   14,433","   15,282","   19,411","   97,470","   106,763","   103,059","   128,172","   135,419","   125,697","   128,159","   128,759","   124,685","   113,000","   68,338","   54,268","   42,796","   33,807","   27,085","   14,190","   4,954","   1,545",   254,   55,
 高 雄 市 , 男 ,"   759,006","   6,181","   32,558","   6,900","   7,555","   7,946","   10,157","   50,555","   55,614","   53,651","   65,433","   67,981","   62,118","   62,898","   62,500","   60,622","   55,050","   33,529","   26,342","   19,897","   17,511","   15,639","   7,677","   2,435",   685,   105,   25,
, 女 ,"   753,671","   5,590","   29,873","   6,405","   6,878","   7,336","   9,254","   46,915","   51,149","   49,408","   62,739","   67,438","   63,579","   65,261","   66,259","   64,063","   57,950","   34,809","   27,926","   22,899","   16,296","   11,446","   6,513","   2,519",   860,   149,   30,
, 計 ,"   73,815",   786,"   3,551",   835,   849,   880,   987,"   4,004","   4,185","   5,235","   6,292","   6,495","   5,812","   5,459","   5,549","   5,707","   4,768","   3,184","   3,159","   3,196","   2,633","   1,685","   1,143",   557,   302,   95,   18,
 福 建 省 , 男 ,"   39,383",   404,"   1,887",   447,   465,   453,   522,"   2,080","   2,159","   2,698","   3,266","   3,388","   3,225","   3,239","   3,256","   3,135","   2,460","   1,673","   1,751","   1,857","   1,430",   682,   462,   207,   94,   25,   5,
, 女 ,"   34,432",   382,"   1,664",   388,   384,   427,   465,"   1,924","   2,026","   2,537","   3,026","   3,107","   2,587","   2,220","   2,293","   2,572","   2,308","   1,511","   1,408","   1,339","   1,203","   1,003",   681,   350,   208,   70,   13,
, 計 ,"   64,456",   704,"   3,128",   731,   746,   780,   871,"   3,522","   3,670","   4,676","   5,527","   5,647","   4,973","   4,710","   4,743","   4,787","   4,080","   2,712","   2,862","   2,917","   2,402","   1,510","   1,032",   469,   278,   90,   17,
 金 門 縣 , 男 ,"   33,962",   355,"   1,650",   385,   408,   403,   454,"   1,834","   1,890","   2,400","   2,818","   2,896","   2,726","   2,761","   2,744","   2,584","   2,024","   1,408","   1,555","   1,695","   1,330",   592,   409,   175,   87,   24,   5,
, 女 ,"   30,494",   349,"   1,478",   346,   338,   377,   417,"   1,688","   1,780","   2,276","   2,709","   2,751","   2,247","   1,949","   1,999","   2,203","   2,056","   1,304","   1,307","   1,222","   1,072",   918,   623,   294,   191,   66,   12,
, 計 ,"   9,359",   82,   423,   104,   103,   100,   116,   482,   515,   559,   765,   848,   839,   749,   806,   920,   688,   472,   297,   279,   231,   175,   111,   88,   24,   5,   1,
 連 江 縣 , 男 ,"   5,421",   49,   237,   62,   57,   50,   68,   246,   269,   298,   448,   492,   499,   478,   512,   551,   436,   265,   196,   162,   100,   90,   53,   32,   7,   1,—,
, 女 ,"   3,938",   33,   186,   42,   46,   50,   48,   236,   246,   261,   317,   356,   340,   271,   294,   369,   252,   207,   101,   117,   131,   85,   58,   56,   17,   4,   1,
