 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,                               表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
           中 華 民 國 97 年 底 ,,,,,,,,,,,,,,,,,,,    　　　　　                     　   中 華 民 國 97 年 底 ,,,,,,,,,   單位：人 ,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
, 女 ,"   766,228","   6,709","   29,778","   7,426","   7,168","   7,343","   7,841","   46,681","   54,936","   57,717","   60,057","   72,229","   64,658","   57,906","   60,907","   61,935","   54,881","   43,896","   25,390","   22,902","   18,356","   13,623","   8,228","   3,809","   1,316",   286,   28,
, 計 ,"   1,312,935","   11,401","   50,935","   12,218","   12,512","   12,636","   13,569","   78,381","   88,939","   94,729","   102,939","   122,489","   108,123","   92,814","   96,105","   99,762","   89,869","   74,775","   46,815","   47,705","   41,971","   33,064","   19,818","   8,958","   2,674",   609,   60,
 彰 化 縣 , 男 ,"   676,162","   5,912","   26,837","   6,490","   6,624","   6,537","   7,186","   41,201","   46,490","   49,825","   53,669","   62,864","   56,361","   48,789","   50,770","   52,406","   46,867","   38,421","   23,809","   23,698","   19,904","   15,223","   8,644","   3,343",   893,   218,   18,
, 女 ,"   636,773","   5,489","   24,098","   5,728","   5,888","   6,099","   6,383","   37,180","   42,449","   44,904","   49,270","   59,625","   51,762","   44,025","   45,335","   47,356","   43,002","   36,354","   23,006","   24,007","   22,067","   17,841","   11,174","   5,615","   1,781",   391,   42,
, 計 ,"   531,753","   3,959","   18,593","   4,486","   4,547","   4,705","   4,855","   29,000","   35,220","   37,466","   39,177","   45,569","   38,825","   37,640","   40,946","   43,375","   38,380","   32,545","   20,764","   21,595","   18,716","   15,083","   9,359","   4,076","   1,192",   244,   29,
 南 投 縣 , 男 ,"   274,915","   2,039","   9,619","   2,332","   2,364","   2,421","   2,502","   15,119","   18,172","   19,522","   20,175","   23,606","   20,386","   19,828","   22,012","   23,090","   20,210","   16,990","   10,470","   10,630","   9,072","   7,257","   4,438","   1,716",   459,   93,   12,
, 女 ,"   256,838","   1,920","   8,974","   2,154","   2,183","   2,284","   2,353","   13,881","   17,048","   17,944","   19,002","   21,963","   18,439","   17,812","   18,934","   20,285","   18,170","   15,555","   10,294","   10,965","   9,644","   7,826","   4,921","   2,360",   733,   151,   17,
, 計 ,"   723,674","   5,938","   26,487","   6,313","   6,515","   6,798","   6,861","   40,704","   45,457","   44,754","   50,292","   62,328","   57,734","   51,826","   54,106","   54,358","   48,561","   43,571","   30,996","   33,249","   29,228","   22,851","   13,365","   5,705","   1,770",   345,   49,
 雲 林 縣 , 男 ,"   379,434","   3,172","   14,025","   3,336","   3,449","   3,595","   3,645","   21,456","   23,746","   23,463","   25,848","   32,107","   30,560","   28,783","   31,303","   30,862","   26,559","   23,484","   15,783","   16,309","   13,667","   10,092","   5,570","   1,982",   547,   97,   19,
, 女 ,"   344,240","   2,766","   12,462","   2,977","   3,066","   3,203","   3,216","   19,248","   21,711","   21,291","   24,444","   30,221","   27,174","   23,043","   22,803","   23,496","   22,002","   20,087","   15,213","   16,940","   15,561","   12,759","   7,795","   3,723","   1,223",   248,   30,
, 計 ,"   548,731","   4,320","   19,585","   4,650","   4,792","   5,099","   5,044","   28,775","   31,803","   34,850","   38,161","   45,250","   41,396","   39,104","   42,550","   44,400","   38,504","   33,565","   22,225","   24,660","   23,146","   18,759","   11,126","   4,773","   1,449",   292,   38,
 嘉 義 縣 , 男 ,"   287,360","   2,279","   10,215","   2,422","   2,498","   2,653","   2,642","   15,058","   16,587","   18,113","   19,624","   23,191","   21,769","   21,576","   24,451","   25,231","   21,350","   17,999","   11,215","   11,905","   10,853","   8,533","   4,908","   1,865",   522,   103,   13,
, 女 ,"   261,371","   2,041","   9,370","   2,228","   2,294","   2,446","   2,402","   13,717","   15,216","   16,737","   18,537","   22,059","   19,627","   17,528","   18,099","   19,169","   17,154","   15,566","   11,010","   12,755","   12,293","   10,226","   6,218","   2,908",   927,   189,   25,
, 計 ,"   1,104,552","   8,115","   36,071","   8,820","   8,837","   9,227","   9,187","   56,100","   67,182","   75,181","   80,619","   95,948","   87,983","   79,849","   88,674","   94,661","   83,764","   68,274","   41,251","   41,034","   38,202","   31,238","   19,166","   8,190","   2,462",   540,   48,
 臺 南 縣 , 男 ,"   565,834","   4,235","   18,960","   4,665","   4,660","   4,798","   4,837","   29,223","   35,102","   38,890","   41,574","   49,105","   45,485","   41,225","   46,296","   49,789","   43,844","   35,352","   20,554","   19,795","   17,945","   14,921","   9,163","   3,342",   860,   155,   19,
, 女 ,"   538,718","   3,880","   17,111","   4,155","   4,177","   4,429","   4,350","   26,877","   32,080","   36,291","   39,045","   46,843","   42,498","   38,624","   42,378","   44,872","   39,920","   32,922","   20,697","   21,239","   20,257","   16,317","   10,003","   4,848","   1,602",   385,   29,
, 計 ,"   1,243,412","   9,931","   43,099","   10,600","   10,794","   10,817","   10,888","   64,909","   77,586","   86,477","   89,423","   111,878","   109,041","   98,617","   100,414","   102,927","   95,333","   81,031","   47,043","   41,454","   32,415","   25,823","   16,844","   6,913","   1,836",   378,   40,
 高 雄 縣 , 男 ,"   639,236","   5,129","   22,465","   5,572","   5,628","   5,572","   5,693","   33,780","   40,507","   45,086","   46,129","   57,344","   57,106","   52,109","   53,372","   52,956","   47,529","   39,960","   23,090","   20,050","   15,241","   13,759","   9,253","   3,399",   781,   170,   21,
, 女 ,"   604,176","   4,802","   20,634","   5,028","   5,166","   5,245","   5,195","   31,129","   37,079","   41,391","   43,294","   54,534","   51,935","   46,508","   47,042","   49,971","   47,804","   41,071","   23,953","   21,404","   17,174","   12,064","   7,591","   3,514","   1,055",   208,   19,
, 計 ,"   884,838","   6,443","   29,601","   6,977","   7,382","   7,460","   7,782","   47,462","   58,900","   60,019","   63,160","   75,624","   69,872","   65,373","   70,426","   71,851","   65,483","   56,469","   35,640","   34,641","   29,433","   22,999","   13,590","   5,961","   1,567",   288,   36,
 屏 東 縣 , 男 ,"   456,802","   3,386","   15,616","   3,694","   3,873","   3,890","   4,159","   24,631","   30,744","   30,962","   32,466","   38,876","   36,729","   34,407","   37,946","   37,956","   33,487","   28,891","   17,864","   17,137","   14,243","   11,243","   6,816","   2,588",   666,   125,   23,
, 女 ,"   428,036","   3,057","   13,985","   3,283","   3,509","   3,570","   3,623","   22,831","   28,156","   29,057","   30,694","   36,748","   33,143","   30,966","   32,480","   33,895","   31,996","   27,578","   17,776","   17,504","   15,190","   11,756","   6,774","   3,373",   901,   163,   13,
, 計 ,"   231,849","   1,889","   8,517","   2,047","   2,158","   2,143","   2,169","   12,796","   15,042","   15,467","   15,863","   18,971","   17,852","   18,084","   18,570","   18,570","   16,760","   14,235","   9,245","   9,054","   7,666","   6,178","   4,470","   1,933",   548,   120,   19,
 臺 東 縣 , 男 ,"   122,041","   1,012","   4,457","   1,076","   1,128","   1,124","   1,129","   6,675","   7,793","   8,133","   8,343","   9,959","   9,622","   10,032","   10,564","   10,182","   8,790","   7,049","   4,518","   4,299","   3,563","   3,121","   2,527","   1,032",   294,   68,   8,
, 女 ,"   109,808",   877,"   4,060",   971,"   1,030","   1,019","   1,040","   6,121","   7,249","   7,334","   7,520","   9,012","   8,230","   8,052","   8,006","   8,388","   7,970","   7,186","   4,727","   4,755","   4,103","   3,057","   1,943",   901,   254,   52,   11,
, 計 ,"   341,433","   2,588","   11,904","   2,831","   2,986","   2,946","   3,141","   18,478","   23,004","   23,791","   23,658","   28,674","   26,570","   25,966","   26,583","   27,373","   25,934","   21,521","   13,527","   12,704","   10,350","   8,635","   6,240","   2,794",   882,   222,   35,
 花 蓮 縣 , 男 ,"   177,032","   1,359","   6,228","   1,469","   1,582","   1,522","   1,655","   9,633","   11,867","   12,282","   12,271","   15,111","   13,957","   13,696","   14,406","   14,208","   13,419","   10,800","   6,500","   6,054","   4,807","   4,576","   3,702","   1,542",   489,   106,   19,
, 女 ,"   164,401","   1,229","   5,676","   1,362","   1,404","   1,424","   1,486","   8,845","   11,137","   11,509","   11,387","   13,563","   12,613","   12,270","   12,177","   13,165","   12,515","   10,721","   7,027","   6,650","   5,543","   4,059","   2,538","   1,252",   393,   116,   16,
, 計 ,"   93,308",   703,"   3,264",   765,   837,   823,   839,"   4,727","   5,277","   5,866","   6,675","   7,860","   7,796","   7,117","   7,229","   7,142","   6,431","   5,590","   3,720","   3,493","   3,603","   3,353","   2,051","   1,058",   290,   60,   3,
 澎 湖 縣 , 男 ,"   48,092",   375,"   1,671",   401,   440,   401,   429,"   2,510","   2,755","   2,974","   3,413","   3,921","   3,995","   3,851","   4,024","   3,890","   3,458","   2,806","   1,804","   1,719","   1,765","   1,639",   973,   417,   112,   19,   1,
, 女 ,"   45,216",   328,"   1,593",   364,   397,   422,   410,"   2,217","   2,522","   2,892","   3,262","   3,939","   3,801","   3,266","   3,205","   3,252","   2,973","   2,784","   1,916","   1,774","   1,838","   1,714","   1,078",   641,   178,   41,   2,
, 計 ,"   388,979","   2,584","   11,949","   2,908","   2,943","   2,923","   3,175","   20,428","   26,332","   27,730","   26,850","   31,833","   31,023","   31,324","   33,015","   34,107","   31,048","   25,402","   13,455","   13,359","   10,529","   8,285","   5,990","   2,628",   849,   209,   50,
 基 隆 市 , 男 ,"   196,877","   1,384","   6,202","   1,515","   1,507","   1,521","   1,659","   10,666","   13,661","   14,464","   13,878","   16,347","   15,771","   15,860","   16,898","   17,384","   15,469","   12,382","   6,445","   6,188","   4,702","   4,166","   3,129","   1,338",   421,   87,   35,
, 女 ,"   192,102","   1,200","   5,747","   1,393","   1,436","   1,402","   1,516","   9,762","   12,671","   13,266","   12,972","   15,486","   15,252","   15,464","   16,117","   16,723","   15,579","   13,020","   7,010","   7,171","   5,827","   4,119","   2,861","   1,290",   428,   122,   15,
, 計 ,"   405,371","   4,883","   19,245","   4,935","   4,868","   4,577","   4,865","   27,598","   29,707","   27,993","   26,629","   33,887","   36,336","   35,263","   33,523","   31,448","   26,777","   21,552","   12,858","   11,572","   8,941","   7,579","   5,810","   2,729",   779,   202,   60,
 新 竹 市 , 男 ,"   202,389","   2,615","   9,952","   2,529","   2,489","   2,365","   2,569","   14,482","   15,384","   14,497","   13,625","   16,506","   17,382","   17,269","   16,890","   15,864","   13,253","   10,488","   6,082","   5,144","   3,949","   3,798","   3,197","   1,488",   383,   105,   36,
, 女 ,"   202,982","   2,268","   9,293","   2,406","   2,379","   2,212","   2,296","   13,116","   14,323","   13,496","   13,004","   17,381","   18,954","   17,994","   16,633","   15,584","   13,524","   11,064","   6,776","   6,428","   4,992","   3,781","   2,613","   1,241",   396,   97,   24,
, 計 ,"   1,066,128","   8,434","   40,052","   9,779","   9,602","   9,978","   10,693","   70,266","   84,857","   78,239","   73,762","   86,148","   87,996","   94,575","   97,732","   90,639","   75,990","   60,021","   32,927","   27,875","   20,563","   16,796","   12,066","   5,280","   1,474",   362,   74,
 臺 中 市 , 男 ,"   520,274","   4,440","   20,886","   5,095","   5,073","   5,192","   5,526","   36,659","   44,264","   40,443","   37,765","   42,515","   41,048","   42,609","   45,279","   42,958","   36,405","   28,824","   15,393","   12,628","   9,132","   8,614","   6,860","   2,692",   676,   153,   31,
, 女 ,"   545,854","   3,994","   19,166","   4,684","   4,529","   4,786","   5,167","   33,607","   40,593","   37,796","   35,997","   43,633","   46,948","   51,966","   52,453","   47,681","   39,585","   31,197","   17,534","   15,247","   11,431","   8,182","   5,206","   2,588",   798,   209,   43,
, 計 ,"   273,793","   2,006","   9,349","   2,154","   2,273","   2,238","   2,684","   18,034","   22,155","   19,408","   18,822","   22,278","   21,835","   21,446","   22,329","   21,494","   19,220","   16,197","   10,089","   9,206","   7,671","   6,045","   3,870","   1,726",   507,   91,   15,
 嘉 義 市 , 男 ,"   135,283","   1,099","   4,901","   1,142","   1,155","   1,160","   1,444","   9,480","   11,394","   10,074","   9,585","   11,195","   10,501","   10,051","   10,824","   10,562","   9,484","   7,802","   4,785","   4,220","   3,421","   2,825","   1,973",   865,   199,   35,   8,
, 女 ,"   138,510",   907,"   4,448","   1,012","   1,118","   1,078","   1,240","   8,554","   10,761","   9,334","   9,237","   11,083","   11,334","   11,395","   11,505","   10,932","   9,736","   8,395","   5,304","   4,986","   4,250","   3,220","   1,897",   861,   308,   56,   7,
, 計 ,"   768,453","   5,933","   26,185","   6,433","   6,525","   6,385","   6,842","   43,146","   53,992","   53,596","   55,764","   67,367","   65,605","   62,456","   64,292","   64,670","   58,444","   48,001","   27,321","   23,837","   18,539","   14,355","   9,396","   4,117","   1,178",   224,   35,
 臺 南 市 , 男 ,"   381,567","   3,029","   13,554","   3,340","   3,391","   3,350","   3,473","   22,559","   28,164","   27,794","   28,649","   34,032","   32,405","   29,914","   30,846","   31,309","   28,839","   23,618","   13,187","   11,134","   8,218","   6,942","   4,817","   1,952",   499,   88,   18,
, 女 ,"   386,886","   2,904","   12,631","   3,093","   3,134","   3,035","   3,369","   20,587","   25,828","   25,802","   27,115","   33,335","   33,200","   32,542","   33,446","   33,361","   29,605","   24,383","   14,134","   12,703","   10,321","   7,413","   4,579","   2,165",   679,   136,   17,
, 計 ,"   2,622,923","   19,755","   89,806","   22,932","   22,186","   22,039","   22,649","   133,506","   165,096","   159,899","   161,282","   196,647","   199,686","   207,292","   218,919","   224,487","   218,263","   192,470","   112,840","   98,086","   75,143","   64,561","   49,242","   25,099","   8,233","   2,132",   479,
 臺 北 市 , 男 ,"   1,270,948","   10,248","   46,923","   11,771","   11,525","   11,662","   11,965","   69,538","   85,958","   83,602","   82,143","   96,763","   92,633","   94,300","   100,868","   105,282","   103,147","   91,066","   53,010","   44,254","   33,058","   32,750","   26,386","   13,489","   4,158","   1,119",   253,
, 女 ,"   1,351,975","   9,507","   42,883","   11,161","   10,661","   10,377","   10,684","   63,968","   79,138","   76,297","   79,139","   99,884","   107,053","   112,992","   118,051","   119,205","   115,116","   101,404","   59,830","   53,832","   42,085","   31,811","   22,856","   11,610","   4,075","   1,013",   226,
, 計 ,"   1,525,642","   11,051","   50,453","   12,190","   12,283","   12,761","   13,219","   84,499","   101,832","   100,620","   104,688","   132,328","   132,633","   126,895","   126,717","   125,080","   119,736","   103,459","   59,599","   50,900","   37,258","   28,225","   19,235","   7,885","   2,027",   443,   79,
 高 雄 市 , 男 ,"   757,220","   5,722","   26,421","   6,463","   6,342","   6,671","   6,945","   43,957","   52,708","   52,248","   54,168","   66,298","   64,770","   61,392","   61,697","   60,322","   57,591","   49,657","   28,653","   23,981","   17,020","   14,690","   10,753","   4,043",   906,   184,   39,
, 女 ,"   768,422","   5,329","   24,032","   5,727","   5,941","   6,090","   6,274","   40,542","   49,124","   48,372","   50,520","   66,030","   67,863","   65,503","   65,020","   64,758","   62,145","   53,802","   30,946","   26,919","   20,238","   13,535","   8,482","   3,842","   1,121",   259,   40,
, 計 ,"   94,325","   1,044","   3,763","   1,066",   930,   903,   864,"   4,183","   4,362","   5,528","   7,221","   7,753","   7,830","   7,447","   7,662","   7,651","   8,102","   6,007","   4,052","   3,512","   3,215","   2,293","   1,422",   810,   307,   123,   38,
 福 建 省 , 男 ,"   50,275",   526,"   2,001",   603,   491,   466,   441,"   2,206","   2,271","   2,852","   3,668","   3,903","   3,964","   4,248","   4,467","   4,447","   4,432","   3,226","   2,206","   1,932","   1,823","   1,120",   532,   306,   95,   38,   12,
, 女 ,"   44,050",   518,"   1,762",   463,   439,   437,   423,"   1,977","   2,091","   2,676","   3,553","   3,850","   3,866","   3,199","   3,195","   3,204","   3,670","   2,781","   1,846","   1,580","   1,392","   1,173",   890,   504,   212,   85,   26,
, 計 ,"   84,570",   949,"   3,379",   954,   840,   801,   784,"   3,697","   3,885","   4,913","   6,576","   6,961","   7,014","   6,600","   6,870","   6,761","   7,203","   5,381","   3,622","   3,264","   2,971","   2,088","   1,293",   718,   274,   113,   38,
 金 門 縣 , 男 ,"   44,625",   476,"   1,783",   538,   442,   407,   396,"   1,950","   2,033","   2,526","   3,302","   3,447","   3,511","   3,716","   3,948","   3,885","   3,893","   2,828","   1,950","   1,781","   1,697","   1,030",   474,   266,   84,   33,   12,
, 女 ,"   39,945",   473,"   1,596",   416,   398,   394,   388,"   1,747","   1,852","   2,387","   3,274","   3,514","   3,503","   2,884","   2,922","   2,876","   3,310","   2,553","   1,672","   1,483","   1,274","   1,058",   819,   452,   190,   80,   26,
, 計 ,"   9,755",   95,   384,   112,   90,   102,   80,   486,   477,   615,   645,   792,   816,   847,   792,   890,   899,   626,   430,   248,   244,   205,   129,   92,   33,   10,—,
 連 江 縣 , 男 ,"   5,650",   50,   218,   65,   49,   59,   45,   256,   238,   326,   366,   456,   453,   532,   519,   562,   539,   398,   256,   151,   126,   90,   58,   40,   11,   5,—,
, 女 ,"   4,105",   45,   166,   47,   41,   43,   35,   230,   239,   289,   279,   336,   363,   315,   273,   328,   360,   228,   174,   97,   118,   115,   71,   52,   22,   5,—,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,內政部戶政司 民國98年2月19日編製,
