 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  65 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ ,
, 女 ,"   541,630","   13,794","   48,661","   12,667","   12,191","   12,012","   11,791","   60,274","   66,636","   67,611","   60,811","   39,834","   26,042","   28,841","   28,035","   24,859","   20,095","   16,474","   13,466","   11,429","   7,685","   4,433","   1,795",   669,   186,—,—,
, 計 ,"   518,627","   11,441","   41,298","   10,633","   10,132","   10,211","   10,322","   57,567","   65,861","   66,893","   58,479","   37,973","   24,989","   28,692","   26,941","   26,462","   21,133","   16,270","   13,524","   10,359","   6,198","   3,043","   1,003",   385,   116,—,—,
 南 投 縣 , 男 ,"   271,538","   6,054","   21,084","   5,462","   5,179","   5,194","   5,249","   29,480","   33,743","   34,060","   31,456","   21,043","   13,350","   15,147","   14,249","   14,509","   11,639","   8,625","   7,356","   5,049","   2,853","   1,313",   365,   128,   35,—,—,
, 女 ,"   247,089","   5,387","   20,214","   5,171","   4,953","   5,017","   5,073","   28,087","   32,118","   32,833","   27,023","   16,930","   11,639","   13,545","   12,692","   11,953","   9,494","   7,645","   6,168","   5,310","   3,345","   1,730",   638,   257,   81,—,—,
, 計 ,"   803,739","   19,475","   66,267","   17,782","   16,421","   16,109","   15,955","   87,496","   104,984","   102,831","   90,380","   58,216","   39,612","   44,387","   41,850","   39,178","   29,501","   24,717","   20,530","   15,902","   9,923","   5,079","   2,346",   798,   267,—,—,
 雲 林 縣 , 男 ,"   416,965","   10,025","   34,330","   9,269","   8,462","   8,344","   8,255","   45,026","   53,322","   52,700","   49,265","   33,182","   21,511","   23,375","   21,595","   20,291","   15,029","   12,101","   10,003","   7,408","   4,529","   2,103",   868,   240,   62,—,—,
, 女 ,"   386,774","   9,450","   31,937","   8,513","   7,959","   7,765","   7,700","   42,470","   51,662","   50,131","   41,115","   25,034","   18,101","   21,012","   20,255","   18,887","   14,472","   12,616","   10,527","   8,494","   5,394","   2,976","   1,478",   558,   205,—,—,
, 計 ,"   840,512","   18,498","   64,813","   16,665","   16,061","   16,095","   15,992","   88,837","   107,884","   111,516","   97,116","   61,644","   38,546","   45,591","   44,935","   43,687","   33,730","   26,955","   21,443","   16,838","   9,608","   5,612","   2,273",   784,   202,—,—,
 嘉 義 縣 , 男 ,"   436,746","   9,410","   33,373","   8,592","   8,245","   8,271","   8,265","   45,411","   55,135","   57,281","   52,803","   34,060","   19,955","   23,136","   22,846","   23,507","   18,474","   14,422","   11,097","   7,982","   4,388","   2,373",   850,   203,   40,—,—,
, 女 ,"   403,766","   9,088","   31,440","   8,073","   7,816","   7,824","   7,727","   43,426","   52,749","   54,235","   44,313","   27,584","   18,591","   22,455","   22,089","   20,180","   15,256","   12,533","   10,346","   8,856","   5,220","   3,239","   1,423",   581,   162,—,—,
, 計 ,"   949,487","   21,696","   72,311","   19,064","   18,059","   17,934","   17,254","   95,344","   116,540","   127,128","   110,607","   70,974","   42,766","   49,562","   51,343","   51,074","   38,981","   30,804","   25,553","   20,536","   12,072","   7,550","   3,219","   1,120",   307,—,—,
 臺 南 縣 , 男 ,"   495,917","   11,361","   37,164","   9,752","   9,346","   9,230","   8,836","   49,034","   59,900","   65,512","   59,885","   39,036","   22,501","   25,415","   26,465","   28,053","   21,431","   16,303","   13,097","   9,814","   5,838","   3,337","   1,284",   404,   83,—,—,
, 女 ,"   453,570","   10,335","   35,147","   9,312","   8,713","   8,704","   8,418","   46,310","   56,640","   61,616","   50,722","   31,938","   20,265","   24,147","   24,878","   23,021","   17,550","   14,501","   12,456","   10,722","   6,234","   4,213","   1,935",   716,   224,—,—,
, 計 ,"   970,545","   24,023","   90,392","   22,810","   22,463","   22,550","   22,569","   116,518","   118,857","   114,901","   103,104","   77,849","   51,177","   51,546","   46,176","   49,221","   41,064","   29,699","   22,623","   15,893","   9,211","   5,156","   2,206",   735,   194,—,—,
 高 雄 縣 , 男 ,"   509,753","   12,531","   46,582","   11,733","   11,628","   11,667","   11,554","   59,816","   60,430","   58,388","   52,920","   39,975","   26,586","   26,652","   24,986","   30,405","   25,075","   17,134","   12,422","   8,075","   4,492","   2,157",   837,   250,   40,—,—,
, 女 ,"   460,792","   11,492","   43,810","   11,077","   10,835","   10,883","   11,015","   56,702","   58,427","   56,513","   50,184","   37,874","   24,591","   24,894","   21,190","   18,816","   15,989","   12,565","   10,201","   7,818","   4,719","   2,999","   1,369",   485,   154,—,—,
, 計 ,"   867,404","   19,668","   70,571","   18,006","   17,365","   17,583","   17,617","   97,869","   110,786","   109,298","   95,921","   66,990","   42,835","   46,609","   43,490","   43,240","   35,819","   28,864","   23,287","   15,610","   9,109","   4,644","   1,941",   689,   164,—,—,
 屏 東 縣 , 男 ,"   457,265","   10,174","   36,349","   9,321","   8,866","   9,097","   9,065","   50,355","   56,643","   56,067","   51,634","   36,995","   22,940","   24,908","   22,928","   24,347","   20,260","   15,863","   12,787","   7,780","   4,283","   1,985",   716,   208,   43,—,—,
, 女 ,"   410,139","   9,494","   34,222","   8,685","   8,499","   8,486","   8,552","   47,514","   54,143","   53,231","   44,287","   29,995","   19,895","   21,701","   20,562","   18,893","   15,559","   13,001","   10,500","   7,830","   4,826","   2,659","   1,225",   481,   121,—,—,
, 計 ,"   289,977","   6,209","   24,741","   5,966","   5,909","   6,391","   6,475","   35,191","   38,591","   36,525","   29,511","   19,083","   13,009","   13,865","   13,499","   15,433","   14,511","   10,847","   8,402","   5,193","   3,141","   1,420",   577,   174,   55,—,—,
 臺 東 縣 , 男 ,"   158,806","   3,212","   12,749","   3,079","   3,044","   3,284","   3,342","   17,893","   19,857","   18,824","   16,427","   10,409","   6,968","   7,226","   7,258","   9,678","   9,748","   7,130","   5,536","   3,091","   1,747",   708,   259,   78,   8,—,—,
, 女 ,"   131,171","   2,997","   11,992","   2,887","   2,865","   3,107","   3,133","   17,298","   18,734","   17,701","   13,084","   8,674","   6,041","   6,639","   6,241","   5,755","   4,763","   3,717","   2,866","   2,102","   1,394",   712,   318,   96,   47,—,—,
, 計 ,"   349,398","   7,369","   28,373","   6,932","   7,065","   7,147","   7,229","   39,746","   43,217","   42,838","   35,640","   24,449","   16,963","   17,400","   16,549","   19,290","   18,348","   13,866","   10,903","   6,618","   4,299","   2,156",   906,   339,   129,—,—,
 花 蓮 縣 , 男 ,"   192,425","   3,814","   14,537","   3,528","   3,676","   3,673","   3,660","   20,332","   22,118","   22,035","   19,210","   13,012","   8,819","   8,953","   8,906","   12,603","   12,722","   9,826","   7,443","   3,943","   2,459","   1,120",   418,   122,   33,—,—,
, 女 ,"   156,973","   3,555","   13,836","   3,404","   3,389","   3,474","   3,569","   19,414","   21,099","   20,803","   16,430","   11,437","   8,144","   8,447","   7,643","   6,687","   5,626","   4,040","   3,460","   2,675","   1,840","   1,036",   488,   217,   96,—,—,
, 計 ,"   113,631","   2,410","   9,459","   2,295","   2,369","   2,414","   2,381","   13,659","   15,618","   15,012","   11,470","   6,908","   4,603","   4,810","   5,624","   6,452","   5,260","   3,756","   2,791","   2,077","   1,663","   1,103",   585,   282,   89,—,—,
 澎 湖 縣 , 男 ,"   59,526","   1,266","   4,909","   1,178","   1,241","   1,255","   1,235","   6,960","   7,954","   7,709","   6,224","   3,584","   2,327","   2,474","   3,026","   4,116","   3,200","   2,029","   1,432",   906,   699,   422,   178,   94,   17,—,—,
, 女 ,"   54,105","   1,144","   4,550","   1,117","   1,128","   1,159","   1,146","   6,699","   7,664","   7,303","   5,246","   3,324","   2,276","   2,336","   2,598","   2,336","   2,060","   1,727","   1,359","   1,171",   964,   681,   407,   188,   72,—,—,
, 計 ,"   342,544","   7,091","   28,351","   6,851","   6,927","   7,211","   7,362","   40,103","   41,838","   41,742","   37,361","   27,283","   16,764","   19,107","   16,535","   17,498","   16,263","   11,915","   9,064","   5,481","   3,426","   1,740",   705,   210,   67,—,—,
 基 隆 市 , 男 ,"   180,772","   3,661","   14,602","   3,497","   3,591","   3,700","   3,814","   20,684","   21,804","   21,578","   19,054","   13,554","   8,292","   9,431","   8,698","   10,449","   10,197","   7,422","   5,675","   3,004","   1,626",   733,   242,   58,   8,—,—,
, 女 ,"   161,772","   3,430","   13,749","   3,354","   3,336","   3,511","   3,548","   19,419","   20,034","   20,164","   18,307","   13,729","   8,472","   9,676","   7,837","   7,049","   6,066","   4,493","   3,389","   2,477","   1,800","   1,007",   463,   152,   59,—,—,
, 計 ,—,,—,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
 新 竹 市 , 男 ,—,,—,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
, 女 ,—,,—,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
, 計 ,"   561,070","   12,413","   49,805","   12,254","   12,334","   12,492","   12,725","   66,739","   67,581","   61,486","   59,582","   51,072","   33,717","   33,089","   27,576","   29,076","   24,342","   16,797","   12,074","   7,599","   4,506","   2,375",   878,   289,   74,—,—,
 臺 中 市 , 男 ,"   290,517","   6,378","   25,492","   6,300","   6,365","   6,374","   6,453","   34,472","   35,064","   31,630","   29,414","   24,965","   16,206","   15,970","   14,307","   17,591","   15,151","   9,995","   6,877","   3,751","   1,985",   907,   269,   76,   17,—,—,
, 女 ,"   270,553","   6,035","   24,313","   5,954","   5,969","   6,118","   6,272","   32,267","   32,517","   29,856","   30,168","   26,107","   17,511","   17,119","   13,269","   11,485","   9,191","   6,802","   5,197","   3,848","   2,521","   1,468",   609,   213,   57,—,—,
, 計 ,—,,—,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
 嘉 義 市 , 男 ,—,,—,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
, 女 ,—,,—,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
, 計 ,"   537,217","   12,467","   45,742","   11,266","   11,496","   11,604","   11,376","   60,983","   63,888","   61,142","   59,381","   48,099","   31,130","   31,209","   27,280","   25,903","   21,989","   16,796","   12,733","   8,567","   5,139","   2,925","   1,302",   426,   116,—,—,
 臺 南 市 , 男 ,"   279,178","   6,448","   23,469","   5,770","   5,885","   5,956","   5,858","   31,534","   33,012","   31,633","   30,300","   24,621","   15,851","   15,389","   13,751","   14,530","   12,823","   9,724","   7,089","   4,431","   2,607","   1,278",   530,   128,   30,—,—,
, 女 ,"   258,039","   6,019","   22,273","   5,496","   5,611","   5,648","   5,518","   29,449","   30,876","   29,509","   29,081","   23,478","   15,279","   15,820","   13,529","   11,373","   9,166","   7,072","   5,644","   4,136","   2,532","   1,647",   772,   298,   86,—,—,
, 計 ,"   2,089,288","   40,764","   170,744","   41,096","   42,341","   43,081","   44,226","   230,749","   233,522","   216,912","   221,504","   201,730","   132,462","   124,943","   105,776","   111,896","   102,085","   73,909","   54,442","   32,044","   19,430","   10,035","   4,240","   1,554",   547,—,—,
 臺 北 市 , 男 ,"   1,093,322","   21,218","   87,830","   21,000","   21,857","   22,298","   22,675","   119,337","   120,527","   110,971","   107,481","   96,051","   64,593","   60,757","   54,930","   69,149","   65,399","   46,865","   33,619","   17,946","   10,054","   4,411","   1,625",   446,   113,—,—,
, 女 ,"   995,966","   19,546","   82,914","   20,096","   20,484","   20,783","   21,551","   111,412","   112,995","   105,941","   114,023","   105,679","   67,869","   64,186","   50,846","   42,747","   36,686","   27,044","   20,823","   14,098","   9,376","   5,624","   2,615","   1,108",   434,—,—,
, 計 ,"   1,019,900","   24,707","   96,460","   23,821","   23,948","   24,366","   24,325","   126,112","   122,269","   109,930","   105,196","   95,604","   65,261","   62,297","   51,282","   50,130","   41,098","   27,494","   19,265","   11,261","   6,383","   3,259","   1,337",   435,   120,—,—,
 高 雄 市 , 男 ,"   531,416","   12,815","   49,490","   12,150","   12,331","   12,488","   12,521","   65,411","   63,253","   56,634","   51,086","   46,390","   33,201","   31,273","   26,995","   30,958","   25,683","   16,586","   11,071","   5,616","   2,992","   1,335",   442,   154,   31,—,—,
, 女 ,"   488,484","   11,892","   46,970","   11,671","   11,617","   11,878","   11,804","   60,701","   59,016","   53,296","   54,110","   49,214","   32,060","   31,024","   24,287","   19,172","   15,415","   10,908","   8,194","   5,645","   3,391","   1,924",   895,   281,   89,—,—,
, 計 ,"   71,547","   1,641","   7,394","   1,688","   1,772","   1,875","   2,059","   10,739","   11,972","   7,485","   5,196","   3,700","   2,998","   3,363","   3,619","   2,983","   2,674","   2,078","   1,865","   1,301","   1,038",   752,   437,   235,   77,—,—,
 福 建 省 , 男 ,"   37,124",   910,"   3,936",   897,   933,"   1,021","   1,085","   5,529","   6,170","   4,233","   2,703","   1,782","   1,531","   1,897","   2,039","   1,500","   1,340","   1,151",   864,   586,   465,   269,   132,   67,   20,—,—,
, 女 ,"   34,423",   731,"   3,458",   791,   839,   854,   974,"   5,210","   5,802","   3,252","   2,493","   1,918","   1,467","   1,466","   1,580","   1,483","   1,334",   927,"   1,001",   715,   573,   483,   305,   168,   57,—,—,
, 計 ,"   58,743","   1,345","   5,921","   1,340","   1,434","   1,486","   1,661","   8,783","   9,823","   6,347","   4,159","   2,934","   2,472","   2,863","   3,112","   2,456","   2,155","   1,641","   1,469","   1,109",   850,   637,   379,   214,   74,—,—,
 金 門 縣 , 男 ,"   30,141",   739,"   3,173",   717,   758,   813,   885,"   4,501","   4,993","   3,555","   2,082","   1,380","   1,241","   1,618","   1,812","   1,227","   1,051",   880,   646,   477,   345,   221,   115,   65,   20,—,—,
, 女 ,"   28,602",   606,"   2,748",   623,   676,   673,   776,"   4,282","   4,830","   2,792","   2,077","   1,554","   1,231","   1,245","   1,300","   1,229","   1,104",   761,   823,   632,   505,   416,   264,   149,   54,—,—,
, 計 ,"   12,804",   296,"   1,473",   348,   338,   389,   398,"   1,956","   2,149","   1,138","   1,037",   766,   526,   500,   507,   527,   519,   437,   396,   192,   188,   115,   58,   21,   3,—,—,
 連 江 縣 , 男 ,"   6,983",   171,   763,   180,   175,   208,   200,"   1,028","   1,177",   678,   621,   402,   290,   279,   227,   273,   289,   271,   218,   109,   120,   48,   17,   2,—,—,—,
, 女 ,"   5,821",   125,   710,   168,   163,   181,   198,   928,   972,   460,   416,   364,   236,   221,   280,   254,   230,   166,   178,   83,   68,   67,   41,   19,   3,—,—,
說明：高雄市尚未改直轄市，仍隸屬臺灣省。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
